SPSBEAM/BDot,SPSBEAM/BDot
X,Y
0.0,0.0045
6.0,0.0135
12.0,0.0225
18.0,0.0315
24.0,0.0405
30.0,0.05299875
36.0,0.06899625
42.0,0.08499375
48.0,0.10099125
54.0,0.11698875
60.0,0.13298625
72.0,0.16498125
78.0,0.1752623864
84.0,0.1669653409
102.0,0.1377869318
108.0,0.1280607955
120.0,0.1086085227
126.0,0.0988823864
132.0,0.08915625
138.0,0.0794301136
144.0,0.0697039773
150.0,0.0599778409
156.0,0.0502517045
162.0,0.0405255682
168.0,0.0307994318
174.0,0.0210732955
180.0,0.0113471591
186.0,0.0021613636
192.0,0.0
725.0,0.0
1345.0,0.0
1351.0,0.002025
1357.0,0.003375
1363.0,0.004725
1369.0,0.006075
1375.0,0.007425
1381.0,0.008775
1387.0,0.010125
1393.0,0.011475
1399.0,0.012825
1405.0,0.014175
1411.0,0.015525
1417.0,0.016875
1429.0,0.019575
1435.0,0.020925
1441.0,0.022275
1447.0,0.023625
1453.0,0.024975
1459.0,0.026325
1465.0,0.027675
1471.0,0.029025
1483.0,0.031725
1489.0,0.033075
1495.0,0.034425
1501.0,0.035775
1507.0,0.037125
1513.0,0.038475
1519.0,0.039825
1525.0,0.041175
1543.0,0.045225
1549.0,0.046575
1555.0,0.047925
1561.0,0.049275
1567.0,0.050625
1585.0,0.054675
1591.0,0.056025
1597.0,0.057375
1603.0,0.058725
1615.0,0.061425
1621.0,0.062775
1639.0,0.066825
1645.0,0.068175
1651.0,0.069525
1657.0,0.070875
1663.0,0.072225
1669.0,0.073575
1675.0,0.074925
1681.0,0.076275
1687.0,0.077625
1693.0,0.078975
1699.0,0.080325
1711.0,0.083025
1717.0,0.084375
1729.0,0.087075
1735.0,0.088425
1741.0,0.0898875
1747.0,0.0928125
1753.0,0.0961875
1759.0,0.0995625
1765.0,0.1029375
1771.0,0.1063125
1777.0,0.1096875
1795.0,0.1198125
1801.0,0.1231875
1807.0,0.1265625
1813.0,0.1299375
1819.0,0.1333125
1825.0,0.1366875
1831.0,0.1400625
1837.0,0.1434375
1843.0,0.1468125
1849.0,0.1501875
1855.0,0.1535625
1861.0,0.1569375
1867.0,0.1603125
1873.0,0.1636875
1891.0,0.1738125
1897.0,0.1771875
1903.0,0.1805625
1915.0,0.1873125
1921.0,0.1906875
1933.0,0.1974375
1939.0,0.2008125
1945.0,0.2041875
1951.0,0.2075625
1957.0,0.2109375
1963.0,0.2143125
1969.0,0.2176875
1975.0,0.2210625
1981.0,0.2244375
1993.0,0.2311875
1999.0,0.2345625
2005.0,0.2379375
2011.0,0.2413125
2017.0,0.2446875
2029.0,0.2514375
2035.0,0.2548125
2041.0,0.2581875
2047.0,0.2615625
2053.0,0.2649375
2059.0,0.2683125
2065.0,0.2716875
2071.0,0.2750625
2077.0,0.2784375
2083.0,0.2818125
2089.0,0.2851875
2095.0,0.2885625
2113.0,0.2986875
2119.0,0.3020625
2125.0,0.3054375
2137.0,0.3121875
2149.0,0.3189375
2155.0,0.3223125
2161.0,0.3256875
2167.0,0.3290625
2173.0,0.3324375
2179.0,0.3358125
2191.0,0.3425625
2197.0,0.3459375
2203.0,0.3493125
2209.0,0.3526875
2215.0,0.3560625
2221.0,0.3594375
2227.0,0.3628125
2245.0,0.3729375
2251.0,0.3763125
2257.0,0.3796875
2263.0,0.3830625
2269.0,0.3864375
2275.0,0.3898125
2281.0,0.3931875
2287.0,0.3965625
2293.0,0.3999375
2299.0,0.4033125
2305.0,0.4066875
2311.0,0.4100625
2317.0,0.4134375
2323.0,0.4168125
2341.0,0.4269375
2347.0,0.4303125
2353.0,0.4336875
2371.0,0.4438125
2377.0,0.4471875
2383.0,0.4505625
2389.0,0.4539375
2395.0,0.4573125
2401.0,0.4606875
2413.0,0.4674375
2419.0,0.4708125
2425.0,0.4741875
2431.0,0.4775625
2437.0,0.4809375
2443.0,0.4843125
2449.0,0.4876875
2455.0,0.4910625
2461.0,0.4944375
2467.0,0.4978125
2473.0,0.5011875
2479.0,0.5045625
2485.0,0.5079375
2491.0,0.5113125
2509.0,0.5214375
2515.0,0.5248125
2527.0,0.5315625
2533.0,0.5349375
2539.0,0.5383125
2545.0,0.5407425
2551.0,0.5422275
2557.0,0.5437125
2563.0,0.5451975
2575.0,0.5481675
2581.0,0.5496525
2587.0,0.5511375
2593.0,0.5526225
2599.0,0.5541075
2605.0,0.5555925
2611.0,0.5570775
2617.0,0.5585625
2623.0,0.5600475
2629.0,0.5615325
2635.0,0.5630175
2641.0,0.5645025
2647.0,0.5659875
2665.0,0.5704425
2671.0,0.5719275
2677.0,0.5734125
2683.0,0.5748975
2689.0,0.5763825
2695.0,0.5778675
2701.0,0.5793525
2707.0,0.5808375
2713.0,0.5823225
2719.0,0.5838075
2725.0,0.5852925
2731.0,0.5867775
2737.0,0.5882625
2743.0,0.5897475
2749.0,0.5912325
2755.0,0.5927175
2761.0,0.5942025
2767.0,0.5956875
2773.0,0.5971725
2779.0,0.5986575
2785.0,0.6001425
2791.0,0.6016275
2797.0,0.6031125
