SPSBEAM/ETA,SPSBEAM/ETA
X,Y
0.0,-0.0027732148
725.0,-0.0027732148
1345.0,-0.0027732148
1351.0,-0.0027727289
1357.0,-0.0027712715
1363.0,-0.0027688441
1369.0,-0.0027654488
1375.0,-0.0027610889
1381.0,-0.0027557683
1387.0,-0.0027494918
1393.0,-0.0027422654
1399.0,-0.0027340955
1405.0,-0.0027249897
1411.0,-0.0027149563
1417.0,-0.0027040042
1423.0,-0.0026921435
1429.0,-0.0026793847
1435.0,-0.0026657393
1441.0,-0.0026512194
1447.0,-0.0026358379
1453.0,-0.0026196082
1459.0,-0.0026025446
1465.0,-0.0025846619
1471.0,-0.0025659754
1477.0,-0.0025465012
1483.0,-0.0025262558
1489.0,-0.0025052561
1495.0,-0.0024835199
1501.0,-0.0024610649
1507.0,-0.0024379096
1513.0,-0.0024140728
1519.0,-0.0023895736
1525.0,-0.0023644315
1531.0,-0.0023386662
1537.0,-0.0023122978
1543.0,-0.0022853465
1549.0,-0.0022578327
1555.0,-0.002229777
1561.0,-0.0022012002
1567.0,-0.0021721232
1573.0,-0.0021425668
1579.0,-0.002112552
1585.0,-0.0020820998
1591.0,-0.0020512313
1597.0,-0.0020199672
1603.0,-0.0019883285
1609.0,-0.001956336
1615.0,-0.0019240103
1621.0,-0.001891372
1627.0,-0.0018584414
1633.0,-0.0018252387
1639.0,-0.0017917838
1645.0,-0.0017580965
1651.0,-0.0017241962
1657.0,-0.0016901023
1663.0,-0.0016558337
1669.0,-0.0016214089
1675.0,-0.0015868465
1681.0,-0.0015521643
1687.0,-0.00151738
1693.0,-0.001482511
1699.0,-0.0014475742
1705.0,-0.0014125863
1711.0,-0.0013775634
1717.0,-0.0013425214
1723.0,-0.0013074756
1729.0,-0.0012724412
1735.0,-0.0012374327
1741.0,-0.0012024643
1747.0,-0.0011675065
1753.0,-0.0011320204
1759.0,-0.0010958822
1765.0,-0.0010591443
1771.0,-0.0010218589
1777.0,-9.840772E-4
1783.0,-9.458501E-4
1789.0,-9.072273E-4
1795.0,-8.68258E-4
1801.0,-8.289901E-4
1807.0,-7.894705E-4
1813.0,-7.497448E-4
1819.0,-7.098575E-4
1825.0,-6.698515E-4
1831.0,-6.297687E-4
1837.0,-5.896492E-4
1843.0,-5.495319E-4
1849.0,-5.094541E-4
1855.0,-4.694513E-4
1861.0,-4.295579E-4
1867.0,-3.898065E-4
1873.0,-3.502281E-4
1879.0,-3.108521E-4
1885.0,-2.717065E-4
1891.0,-2.328177E-4
1897.0,-1.942105E-4
1903.0,-1.559081E-4
1909.0,-1.179323E-4
