STABLE_PHASE,STABLE_PHASE
X,Y
0.0,0.0
50.0,0.0
100.0,0.0
725.0,0.0
775.0,0.0
825.0,0.0
1193.0,0.0
1199.0,0.0
1205.0,0.0
1211.0,0.0
1217.0,0.0
1223.0,0.0
1229.0,0.0
1235.0,0.0
1241.0,0.0
1247.0,0.0
1253.0,0.0
1259.0,0.0
1265.0,0.0
1271.0,0.0
1277.0,0.0
1283.0,0.0
1289.0,0.0
1295.0,0.0
1301.0,0.0
1307.0,0.0
1313.0,0.0
1319.0,0.0
1325.0,0.0
1331.0,0.0
1337.0,0.0
1343.0,0.0
1345.0,0.0
1349.0,0.117
1351.0,0.15
1355.0,0.216
1357.0,0.248
1361.0,0.313
1363.0,0.345
1367.0,0.409
1369.0,0.441
1373.0,0.503
1375.0,0.535
1379.0,0.597
1381.0,0.627
1385.0,0.688
1387.0,0.719
1391.0,0.779
1393.0,0.809
1397.0,0.869
1399.0,0.898
1403.0,0.957
1405.0,0.986
1409.0,1.044
1411.0,1.072
1415.0,1.129
1417.0,1.158
1421.0,1.214
1423.0,1.242
1427.0,1.298
1429.0,1.325
1433.0,1.38
1435.0,1.407
1439.0,1.461
1441.0,1.488
1445.0,1.541
1447.0,1.568
1451.0,1.621
1453.0,1.647
1457.0,1.699
1459.0,1.725
1463.0,1.776
1465.0,1.802
1469.0,1.852
1471.0,1.878
1475.0,1.928
1477.0,1.953
1481.0,2.002
1483.0,2.026
1487.0,2.075
1489.0,2.1
1493.0,2.148
1495.0,2.172
1499.0,2.22
1501.0,2.243
1505.0,2.29
1507.0,2.313
1511.0,2.36
1513.0,2.383
1517.0,2.429
1519.0,2.452
1523.0,2.497
1525.0,2.52
1529.0,2.565
1531.0,2.587
1535.0,2.631
1537.0,2.653
1541.0,2.696
1543.0,2.719
1547.0,2.762
1549.0,2.783
1553.0,2.826
1555.0,2.847
1559.0,2.89
1561.0,2.91
1565.0,2.952
1567.0,2.973
1571.0,3.014
1573.0,3.035
1577.0,3.076
1579.0,3.096
1583.0,3.136
1585.0,3.156
1589.0,3.196
1591.0,3.216
1595.0,3.255
1597.0,3.275
1601.0,3.314
1603.0,3.334
1607.0,3.372
1609.0,3.391
1613.0,3.429
1615.0,3.448
1619.0,3.486
1621.0,3.505
1625.0,3.542
1627.0,3.561
1631.0,3.598
1633.0,3.616
