TWC_200/TOTAL_VOLTAGE,TWC_200/TOTAL_VOLTAGE
X,Y
0.0,2.4
50.0,2.4
100.0,2.4
725.0,2.4
775.0,2.4
825.0,3.2
1193.0,3.2
1199.0,3.229
1205.0,3.258
1211.0,3.287
1217.0,3.315
1223.0,3.344
1229.0,3.374
1235.0,3.402
1241.0,3.431
1247.0,3.46
1253.0,3.489
1259.0,3.517
1265.0,3.546
1271.0,3.576
1277.0,3.605
1283.0,3.633
1289.0,3.663
1295.0,3.691
1301.0,3.72
1307.0,3.749
1313.0,3.777
1319.0,3.807
1325.0,3.836
1331.0,3.864
1337.0,3.893
1343.0,3.922
1345.0,3.932
1349.0,3.951
1351.0,3.961
1355.0,3.98
1357.0,3.99
1361.0,4.009
1363.0,4.019
1367.0,4.038
1369.0,4.048
1373.0,4.067
1375.0,4.076
1379.0,4.095
1381.0,4.105
1385.0,4.125
1387.0,4.135
1391.0,4.154
1393.0,4.163
1397.0,4.182
1399.0,4.192
1403.0,4.211
1405.0,4.221
1409.0,4.24
1411.0,4.25
1415.0,4.269
1417.0,4.279
1421.0,4.298
1423.0,4.308
1427.0,4.327
1429.0,4.337
1433.0,4.356
1435.0,4.365
1439.0,4.384
1441.0,4.394
1445.0,4.414
1447.0,4.423
1451.0,4.442
1453.0,4.452
1457.0,4.471
1459.0,4.481
1463.0,4.5
1465.0,4.51
1469.0,4.529
1471.0,4.538
1475.0,4.557
1477.0,4.567
1481.0,4.587
1483.0,4.597
1487.0,4.616
1489.0,4.625
1493.0,4.644
1495.0,4.654
1499.0,4.673
1501.0,4.683
1505.0,4.702
1507.0,4.712
1511.0,4.731
1513.0,4.741
1517.0,4.76
1519.0,4.77
1523.0,4.789
1525.0,4.798
1529.0,4.817
1531.0,4.827
1535.0,4.847
1537.0,4.857
1541.0,4.876
1543.0,4.885
1547.0,4.904
1549.0,4.914
1553.0,4.934
1555.0,4.943
1559.0,4.962
1561.0,4.972
1565.0,4.991
1567.0,5.001
