SPSBEAM/BDot,SPSBEAM/BDot
X,Y
0.0,0.0045
6.0,0.0135
12.0,0.0225
18.0,0.0315
24.0,0.0405
30.0,0.0828675
36.0,0.1586025
42.0,0.2343375
48.0,0.3100725
54.0,0.3858075
60.0,0.4615425
72.0,0.6130125
78.0,0.6637220455
84.0,0.6330988636
90.0,0.5962193182
96.0,0.5593397727
102.0,0.5224602273
108.0,0.4855806818
126.0,0.3749420455
132.0,0.3380625
150.0,0.2274238636
156.0,0.1905443182
162.0,0.1536647727
168.0,0.1167852273
174.0,0.0799056818
180.0,0.0430261364
186.0,0.0081954545
192.0,0.0
1015.0,0.0
8515.0,0.0
8539.0,0.001566
8563.0,0.0028188
8575.0,0.0034452
8587.0,0.0040716
8635.0,0.0065772
8659.0,0.00783
8719.0,0.010962
8731.0,0.0115884
8743.0,0.0122148
8767.0,0.0134676
8779.0,0.014094
8803.0,0.0153468
8815.0,0.0159732
8839.0,0.017226
8851.0,0.0178524
8887.0,0.0197316
8911.0,0.0209844
8935.0,0.0222372
8947.0,0.0228636
8995.0,0.0253692
9007.0,0.0259956
9019.0,0.026622
9031.0,0.0272484
9055.0,0.0285012
9067.0,0.0291276
9079.0,0.029754
9091.0,0.0303804
9103.0,0.0310068
9115.0,0.0316332
9127.0,0.0322596
9139.0,0.032886
9175.0,0.0347652
9187.0,0.0353916
9199.0,0.036018
9211.0,0.0366444
9223.0,0.0372708
9235.0,0.0378972
9259.0,0.03915
9271.0,0.0397764
9283.0,0.0404028
9295.0,0.0410292
9307.0,0.0416556
9319.0,0.042282
9331.0,0.0429084
9343.0,0.0435348
9355.0,0.0441612
9367.0,0.0447876
9379.0,0.045414
9403.0,0.0466668
9415.0,0.0472932
9427.0,0.0479196
9439.0,0.048546
9451.0,0.0491724
9463.0,0.0497988
9499.0,0.051678
9511.0,0.0523044
9523.0,0.0529308
9535.0,0.0535572
9547.0,0.0541836
9571.0,0.0554364
9583.0,0.0560628
9595.0,0.0566892
9607.0,0.0573156
9619.0,0.057942
9631.0,0.0585684
9643.0,0.0591948
9655.0,0.0598212
9667.0,0.0604476
9679.0,0.061074
9691.0,0.0617004
9703.0,0.0623268
9715.0,0.0629532
9727.0,0.0635796
9739.0,0.064206
9751.0,0.0648324
9763.0,0.0654588
9775.0,0.0660852
9787.0,0.0667116
9811.0,0.0679644
9823.0,0.0685908
9835.0,0.0692172
9847.0,0.0698436
9859.0,0.07047
9871.0,0.0710964
9883.0,0.0717228
9895.0,0.0723492
9907.0,0.0729756
9919.0,0.073602
9931.0,0.0742284
9943.0,0.0748548
9967.0,0.0761076
9979.0,0.076734
10003.0,0.0779868
10015.0,0.0786132
10027.0,0.0792396
10039.0,0.079866
10051.0,0.0804924
10075.0,0.0817452
10087.0,0.0823716
10099.0,0.082998
10123.0,0.0842508
10135.0,0.0848772
10147.0,0.0855036
10171.0,0.0867564
10183.0,0.0873828
10195.0,0.0880092
10207.0,0.0886356
10219.0,0.089262
10231.0,0.0898884
10243.0,0.0905148
10255.0,0.0911412
10267.0,0.0917676
10279.0,0.092394
10291.0,0.0930204
10303.0,0.0936468
10315.0,0.0942732
10327.0,0.0948996
10339.0,0.095526
10351.0,0.0961524
10411.0,0.0992844
10423.0,0.0999108
10459.0,0.10179
10471.0,0.1024164
10483.0,0.1030428
10495.0,0.1036692
10507.0,0.1042956
10519.0,0.104922
10531.0,0.1055484
10567.0,0.1074276
10579.0,0.108054
10591.0,0.1086804
10603.0,0.1093068
10615.0,0.1099332
10627.0,0.1105596
10639.0,0.111186
10651.0,0.1118124
10663.0,0.1124388
10675.0,0.1130652
10687.0,0.1136916
10699.0,0.114318
10711.0,0.1149444
10723.0,0.1155708
10735.0,0.1161972
10747.0,0.1168236
10759.0,0.11745
10771.0,0.1180764
10783.0,0.1187028
10807.0,0.1199556
10819.0,0.120582
10831.0,0.1212084
10843.0,0.1218348
10855.0,0.1224612
10867.0,0.1230876
10891.0,0.1243404
10903.0,0.1249668
10915.0,0.1255932
10963.0,0.1280988
10975.0,0.1287252
10987.0,0.1293516
10999.0,0.129978
11011.0,0.13075788
11023.0,0.13203657
11035.0,0.13335363
11047.0,0.13467069
11059.0,0.13598775
11071.0,0.13730481
11083.0,0.13862187
11107.0,0.14125599
11119.0,0.14257305
11131.0,0.14389011
11143.0,0.14520717
11167.0,0.14784129
11179.0,0.14915835
11203.0,0.15179247
11215.0,0.15310953
11227.0,0.15442659
11239.0,0.15574365
11251.0,0.15706071
11263.0,0.15837777
11275.0,0.15969483
11287.0,0.16101189
11299.0,0.16232895
11311.0,0.16364601
11323.0,0.16496307
11335.0,0.16628013
11347.0,0.16759719
11359.0,0.16891425
11371.0,0.17023131
11383.0,0.17154837
11395.0,0.17286543
11407.0,0.17418249
11431.0,0.17681661
11443.0,0.17813367
11455.0,0.17945073
11467.0,0.18076779
11479.0,0.18208485
11491.0,0.18340191
11503.0,0.18471897
11515.0,0.18603603
11527.0,0.18735309
11539.0,0.18867015
11563.0,0.19130427
11575.0,0.19262133
11599.0,0.19525545
