TWC_200/BUCKET_AREA_CALC,TWC_200/BUCKET_AREA_CALC
X,Y
0.0,0.117
50.0,0.117
100.0,0.117
725.0,0.117
775.0,0.135
8545.0,0.135
8551.0,0.134
8557.0,0.137
8563.0,0.139
8569.0,0.142
8575.0,0.144
8581.0,0.147
8587.0,0.147
8593.0,0.147
8599.0,0.146
8605.0,0.146
8611.0,0.145
8617.0,0.145
8623.0,0.145
8629.0,0.145
8635.0,0.144
8641.0,0.144
8647.0,0.144
8653.0,0.144
8659.0,0.144
8665.0,0.144
8671.0,0.144
8677.0,0.144
8683.0,0.144
8689.0,0.144
8695.0,0.144
8701.0,0.144
8707.0,0.144
8713.0,0.144
8719.0,0.144
8725.0,0.144
8731.0,0.144
8737.0,0.144
8743.0,0.145
8749.0,0.145
8755.0,0.145
8761.0,0.145
8767.0,0.145
8773.0,0.146
8779.0,0.146
8785.0,0.146
8791.0,0.147
8797.0,0.147
8803.0,0.148
8809.0,0.148
8815.0,0.149
8821.0,0.149
8827.0,0.15
8833.0,0.15
8839.0,0.151
8845.0,0.151
8851.0,0.152
8857.0,0.153
8863.0,0.153
8869.0,0.154
8875.0,0.155
8881.0,0.155
8887.0,0.156
8893.0,0.157
8899.0,0.158
8905.0,0.159
8911.0,0.16
8917.0,0.16
8923.0,0.161
8929.0,0.162
8935.0,0.163
8941.0,0.164
8947.0,0.164
8953.0,0.164
8959.0,0.165
8965.0,0.165
8971.0,0.165
8977.0,0.167
8983.0,0.169
8989.0,0.17
9001.0,0.174
9013.0,0.178
9019.0,0.18
9025.0,0.182
9031.0,0.184
9037.0,0.186
9043.0,0.188
9049.0,0.189
9055.0,0.19
9061.0,0.192
9067.0,0.193
9073.0,0.195
9079.0,0.196
9085.0,0.198
9091.0,0.199
9097.0,0.204
9103.0,0.21
9109.0,0.216
9115.0,0.222
9121.0,0.228
9127.0,0.234
9133.0,0.24
9139.0,0.246
9145.0,0.252
9151.0,0.258
9157.0,0.264
9163.0,0.27
9169.0,0.276
9175.0,0.282
9181.0,0.289
9187.0,0.296
9193.0,0.301
9195.0,0.303
9323.0,0.322
11195.0,0.322
11201.0,0.321
11207.0,0.32
11213.0,0.321
11219.0,0.321
11225.0,0.322
11231.0,0.323
11237.0,0.324
11243.0,0.325
11249.0,0.326
11255.0,0.328
11261.0,0.329
11267.0,0.33
11273.0,0.332
11279.0,0.333
11285.0,0.334
11291.0,0.336
11297.0,0.338
11303.0,0.339
11309.0,0.341
11315.0,0.343
11321.0,0.345
11327.0,0.346
11333.0,0.348
11339.0,0.35
11345.0,0.352
11351.0,0.354
11357.0,0.358
11363.0,0.359
11369.0,0.359
11375.0,0.36
11381.0,0.36
11387.0,0.36
11393.0,0.361
11399.0,0.362
11405.0,0.362
11411.0,0.363
11417.0,0.364
11423.0,0.364
11429.0,0.365
11435.0,0.366
11441.0,0.367
11447.0,0.368
11453.0,0.369
11459.0,0.37
11465.0,0.371
11471.0,0.372
11477.0,0.373
11483.0,0.374
11489.0,0.376
11495.0,0.377
11501.0,0.378
11507.0,0.38
11513.0,0.381
11519.0,0.383
11525.0,0.384
11531.0,0.386
11537.0,0.388
11543.0,0.389
11549.0,0.391
11555.0,0.393
11561.0,0.395
11567.0,0.397
11573.0,0.399
11579.0,0.401
11585.0,0.403
11591.0,0.405
11597.0,0.406
11603.0,0.407
11609.0,0.408
11615.0,0.409
11621.0,0.41
11627.0,0.411
11633.0,0.413
11639.0,0.415
11645.0,0.416
11651.0,0.418
11657.0,0.42
11663.0,0.422
11669.0,0.424
11675.0,0.427
11681.0,0.429
11687.0,0.432
11693.0,0.435
11699.0,0.438
11705.0,0.441
11711.0,0.444
11717.0,0.447
11723.0,0.451
11729.0,0.454
11735.0,0.458
11741.0,0.462
11747.0,0.466
11753.0,0.47
11759.0,0.475
11765.0,0.479
11771.0,0.484
11777.0,0.489
11783.0,0.494
11789.0,0.5
11795.0,0.505
11801.0,0.511
11807.0,0.517
11813.0,0.523
11819.0,0.53
11825.0,0.537
11831.0,0.544
11837.0,0.551
11843.0,0.559
11849.0,0.567
11855.0,0.575
11861.0,0.584
11867.0,0.593
11873.0,0.603
11879.0,0.613
11885.0,0.623
11891.0,0.634
11897.0,0.645
11903.0,0.657
11909.0,0.67
11915.0,0.683
11921.0,0.697
11927.0,0.712
11933.0,0.728
11939.0,0.745
11945.0,0.762
11951.0,0.781
11957.0,0.801
11963.0,0.823
11969.0,0.846
11975.0,0.871
11981.0,0.899
11987.0,0.928
11993.0,0.961
11999.0,0.997
12005.0,1.036
12011.0,1.081
12017.0,1.131
12023.0,1.188
12029.0,1.254
12035.0,1.332
12041.0,1.425
12047.0,1.539
12053.0,1.685
12059.0,1.879
12065.0,2.157
12071.0,2.605
12077.0,3.527
12083.0,8.415
12089.0,4.409
12095.0,2.932
12101.0,2.353
12107.0,2.024
12113.0,1.804
12119.0,1.645
12125.0,1.523
12131.0,1.425
12137.0,1.345
12143.0,1.277
12149.0,1.22
12155.0,1.169
12161.0,1.125
12167.0,1.086
12173.0,1.051
12179.0,1.02
12185.0,0.991
12191.0,0.965
12197.0,0.941
12203.0,0.919
12209.0,0.898
12215.0,0.879
12221.0,0.861
12227.0,0.845
12233.0,0.829
12239.0,0.814
12245.0,0.801
12251.0,0.787
12257.0,0.775
12263.0,0.763
12269.0,0.752
12275.0,0.741
12281.0,0.731
12287.0,0.721
12293.0,0.712
12299.0,0.703
12305.0,0.694
12311.0,0.686
12317.0,0.678
12323.0,0.67
12329.0,0.663
12335.0,0.656
12341.0,0.649
12347.0,0.642
12353.0,0.635
12359.0,0.629
12365.0,0.623
12371.0,0.617
12377.0,0.611
12383.0,0.605
12389.0,0.6
12395.0,0.596
12401.0,0.593
12407.0,0.59
12413.0,0.587
12419.0,0.585
12425.0,0.583
12431.0,0.58
12437.0,0.578
12443.0,0.576
12449.0,0.574
12455.0,0.572
12461.0,0.569
12467.0,0.568
12473.0,0.566
12479.0,0.564
12485.0,0.562
12491.0,0.56
12497.0,0.559
12503.0,0.557
12509.0,0.555
12515.0,0.554
12521.0,0.552
12527.0,0.551
12533.0,0.549
12539.0,0.548
12545.0,0.546
12551.0,0.545
12557.0,0.544
12563.0,0.542
12569.0,0.541
12575.0,0.54
12581.0,0.538
12587.0,0.537
12593.0,0.536
12599.0,0.535
12605.0,0.534
12611.0,0.532
12617.0,0.531
12623.0,0.53
12629.0,0.529
12635.0,0.528
12641.0,0.527
12647.0,0.526
12653.0,0.525
12659.0,0.523
12665.0,0.522
12671.0,0.521
12677.0,0.52
12683.0,0.519
12689.0,0.518
12695.0,0.517
12701.0,0.516
12707.0,0.515
12713.0,0.514
12719.0,0.513
12725.0,0.512
12731.0,0.511
12737.0,0.51
12743.0,0.509
12749.0,0.508
12755.0,0.507
12761.0,0.506
12767.0,0.506
12773.0,0.505
12779.0,0.504
12785.0,0.503
12791.0,0.502
12797.0,0.501
12803.0,0.5
12809.0,0.499
12815.0,0.498
12821.0,0.497
12827.0,0.496
12833.0,0.495
12839.0,0.494
12845.0,0.493
12851.0,0.492
12857.0,0.491
12863.0,0.491
12869.0,0.49
12875.0,0.489
12881.0,0.488
12887.0,0.487
12893.0,0.486
12899.0,0.485
12905.0,0.484
12911.0,0.483
12917.0,0.482
12923.0,0.481
12929.0,0.48
12935.0,0.479
12941.0,0.478
12947.0,0.477
12953.0,0.476
12959.0,0.475
12965.0,0.474
12971.0,0.474
12977.0,0.473
12983.0,0.472
12989.0,0.471
12995.0,0.47
13001.0,0.469
13007.0,0.468
13013.0,0.467
13019.0,0.466
13025.0,0.465
13031.0,0.464
13037.0,0.463
13043.0,0.462
13049.0,0.461
13055.0,0.46
13061.0,0.459
13067.0,0.458
13073.0,0.457
13079.0,0.456
13085.0,0.455
13091.0,0.454
13097.0,0.453
13103.0,0.452
13109.0,0.451
13115.0,0.45
13121.0,0.448
13127.0,0.447
13133.0,0.446
13139.0,0.445
13145.0,0.444
13151.0,0.443
13157.0,0.442
13163.0,0.441
13169.0,0.44
13175.0,0.439
13181.0,0.438
13187.0,0.437
13193.0,0.436
13199.0,0.437
13235.0,0.442
13241.0,0.443
13247.0,0.444
13253.0,0.445
13259.0,0.446
13265.0,0.447
13271.0,0.448
13277.0,0.448
13283.0,0.449
13289.0,0.45
13295.0,0.451
13301.0,0.452
13307.0,0.453
13313.0,0.454
13319.0,0.455
13337.0,0.457
13343.0,0.458
13349.0,0.459
13355.0,0.46
13361.0,0.461
13367.0,0.462
13373.0,0.463
13379.0,0.463
13385.0,0.464
13391.0,0.465
13397.0,0.466
13403.0,0.467
13409.0,0.468
13421.0,0.47
13427.0,0.47
13445.0,0.473
13451.0,0.474
13457.0,0.475
13463.0,0.476
13469.0,0.476
13475.0,0.477
13487.0,0.479
13493.0,0.48
13499.0,0.481
13505.0,0.482
13511.0,0.482
13517.0,0.483
13523.0,0.484
13529.0,0.485
13535.0,0.486
13541.0,0.487
13553.0,0.488
13559.0,0.489
13565.0,0.49
13571.0,0.491
13577.0,0.492
13595.0,0.494
13601.0,0.495
13613.0,0.497
13619.0,0.498
13625.0,0.498
13637.0,0.5
13643.0,0.501
13655.0,0.503
13685.0,0.507
13691.0,0.507
13697.0,0.508
13703.0,0.509
13715.0,0.511
13721.0,0.512
13733.0,0.513
13757.0,0.516
13763.0,0.517
13775.0,0.519
13781.0,0.52
13793.0,0.521
13799.0,0.522
13805.0,0.523
13811.0,0.524
13817.0,0.524
13823.0,0.525
13829.0,0.526
13835.0,0.527
13841.0,0.528
13847.0,0.536
13853.0,0.544
13859.0,0.552
13865.0,0.56
13871.0,0.568
13877.0,0.576
13883.0,0.585
13889.0,0.593
13895.0,0.601
13901.0,0.61
13907.0,0.618
13913.0,0.627
13919.0,0.636
13925.0,0.644
13931.0,0.653
13937.0,0.662
13943.0,0.67
13949.0,0.679
13955.0,0.688
13961.0,0.697
13967.0,0.706
13973.0,0.715
13979.0,0.724
13985.0,0.733
13991.0,0.742
13997.0,0.751
14003.0,0.76
14009.0,0.77
14015.0,0.779
14021.0,0.788
14027.0,0.798
14033.0,0.807
14039.0,0.817
14045.0,0.826
14051.0,0.836
14057.0,0.846
14063.0,0.855
14069.0,0.865
14075.0,0.875
14081.0,0.885
14087.0,0.894
14093.0,0.904
14099.0,0.914
14105.0,0.924
14111.0,0.934
14117.0,0.944
14123.0,0.955
14129.0,0.965
14135.0,0.975
14141.0,0.985
14147.0,0.996
14153.0,1.006
14159.0,1.016
14165.0,1.027
14171.0,1.037
14177.0,1.048
14183.0,1.059
14189.0,1.069
14195.0,1.08
14201.0,1.091
14207.0,1.102
14213.0,1.112
14219.0,1.123
14225.0,1.134
14231.0,1.145
14237.0,1.156
14243.0,1.167
14249.0,1.179
14255.0,1.19
14261.0,1.201
14267.0,1.212
14273.0,1.224
14279.0,1.235
14285.0,1.246
14291.0,1.258
14297.0,1.274
14303.0,1.291
14309.0,1.308
14315.0,1.325
14321.0,1.342
14327.0,1.36
14333.0,1.377
14339.0,1.395
14345.0,1.413
14351.0,1.431
14357.0,1.449
14363.0,1.467
14369.0,1.485
14375.0,1.503
14381.0,1.522
14387.0,1.54
14393.0,1.559
14399.0,1.578
14405.0,1.597
14411.0,1.616
14417.0,1.636
14423.0,1.655
14429.0,1.675
14435.0,1.694
14441.0,1.714
14447.0,1.734
14453.0,1.755
14459.0,1.775
14465.0,1.796
14471.0,1.816
14477.0,1.837
14483.0,1.858
14489.0,1.88
14495.0,1.899
14501.0,1.918
14507.0,1.936
14513.0,1.954
14519.0,1.973
14525.0,1.991
14531.0,2.01
14537.0,2.029
14543.0,2.049
14549.0,2.068
14555.0,2.088
14561.0,2.107
14567.0,2.127
14573.0,2.148
14579.0,2.168
14585.0,2.189
14591.0,2.21
14597.0,2.231
14603.0,2.252
14609.0,2.274
14615.0,2.296
14621.0,2.319
14627.0,2.342
14633.0,2.365
14639.0,2.389
14645.0,2.413
14651.0,2.438
14657.0,2.463
14663.0,2.49
14669.0,2.517
14675.0,2.545
14681.0,2.576
14687.0,2.609
14693.0,2.634
14695.0,2.642
15304.0,2.642
,
,
