STABLE_PHASE,STABLE_PHASE
X,Y
0.0,0.0
50.0,0.0
100.0,0.0
725.0,0.0
775.0,0.0
8545.0,0.0
8551.0,0.184
8557.0,0.292
8563.0,0.39
8569.0,0.48
8575.0,0.562
8581.0,0.638
8587.0,0.732
8593.0,0.829
8599.0,0.926
8605.0,1.024
8611.0,1.121
8617.0,1.219
8623.0,1.317
8629.0,1.415
8635.0,1.513
8641.0,1.611
8647.0,1.709
8653.0,1.807
8659.0,1.906
8665.0,2.004
8671.0,2.102
8677.0,2.2
8683.0,2.299
8689.0,2.398
8695.0,2.496
8701.0,2.595
8707.0,2.695
8713.0,2.795
8719.0,2.894
8725.0,2.993
8731.0,3.094
8737.0,3.193
8743.0,3.294
8749.0,3.394
8755.0,3.495
8761.0,3.595
8767.0,3.697
8773.0,3.798
8779.0,3.9
8785.0,4.001
8791.0,4.105
8797.0,4.206
8803.0,4.308
8809.0,4.407
8815.0,4.507
8821.0,4.606
8827.0,4.705
8833.0,4.804
8839.0,4.904
8845.0,5.004
8851.0,5.104
8857.0,5.203
8863.0,5.302
8869.0,5.402
8875.0,5.501
8881.0,5.601
8887.0,5.7
8893.0,5.8
8899.0,5.899
8905.0,5.999
8911.0,6.098
8917.0,6.198
8923.0,6.299
8929.0,6.398
8935.0,6.498
8941.0,6.607
8947.0,6.836
8953.0,7.102
8959.0,7.368
8965.0,7.634
8971.0,7.886
8977.0,7.945
8983.0,7.945
8989.0,7.945
9001.0,7.947
9013.0,7.947
9019.0,7.947
9025.0,7.947
9031.0,7.947
9037.0,7.947
9043.0,7.97
9049.0,8.065
9055.0,8.167
9061.0,8.268
9067.0,8.369
9073.0,8.471
9079.0,8.574
9085.0,8.676
9091.0,8.742
9097.0,8.351
9103.0,7.821
9109.0,7.29
9115.0,6.761
9121.0,6.232
9127.0,5.703
9133.0,5.175
9139.0,4.648
9145.0,4.121
9151.0,3.594
9157.0,3.068
9163.0,2.542
9169.0,2.016
9175.0,1.49
9181.0,0.964
9187.0,0.438
9193.0,0.088
9195.0,0.0
9323.0,0.0
11195.0,0.0
11201.0,0.131
11207.0,0.217
11213.0,0.3
11219.0,0.381
11225.0,0.461
11231.0,0.538
11237.0,0.614
11243.0,0.688
11249.0,0.761
11255.0,0.831
11261.0,0.901
11267.0,0.969
11273.0,1.035
11279.0,1.1
