SPSBEAM/BDot,SPSBEAM/BDot
X,Y
0.0,0.0045
6.0,0.0135
12.0,0.0225
18.0,0.0315
24.0,0.0405
30.0,0.0430714286
36.0,0.0392142857
48.0,0.0315
54.0,0.0276428571
60.0,0.0237857143
66.0,0.0199285714
72.0,0.0160714286
90.0,0.0045
96.0,8.571429E-4
102.0,0.0
200.0,0.0
1460.0,0.0
1466.0,0.0054917339
1472.0,0.0091528897
1478.0,0.0128140457
1484.0,0.0164752016
1490.0,0.0206602015
1496.0,0.0253690456
1502.0,0.0300778898
1508.0,0.0347867339
1514.0,0.0394955779
1520.0,0.0451395
1526.0,0.0517185
1532.0,0.0582975
1544.0,0.0714555
1550.0,0.0808155
1568.0,0.1172385
1574.0,0.1293795
1580.0,0.142785
1592.0,0.172125
1598.0,0.186795
1604.0,0.201465
1610.0,0.219645
1616.0,0.241335
1622.0,0.263025
1628.0,0.284715
1634.0,0.306405
1640.0,0.3296925
1646.0,0.3545775
1652.0,0.3794625
1658.0,0.4043475
1664.0,0.4292325
1670.0,0.4425014496
1676.0,0.4441543487
1682.0,0.4458072479
1688.0,0.4474601471
1694.0,0.4491130462
1700.0,0.4507659454
1706.0,0.4524188445
1718.0,0.4557246429
1730.0,0.4590304412
1736.0,0.4606833403
1742.0,0.4623362395
1748.0,0.4639891387
1754.0,0.4656420378
1760.0,0.467294937
1766.0,0.4689478361
1772.0,0.4706007353
1778.0,0.4722536345
1784.0,0.4739065336
1790.0,0.4755594328
1796.0,0.4772123319
1808.0,0.4805181303
1814.0,0.4821710294
1820.0,0.4838239286
1826.0,0.4854768277
1832.0,0.4871297269
1838.0,0.4887826261
1844.0,0.4904355252
1850.0,0.4920884244
1856.0,0.4937413235
1862.0,0.4953942227
1868.0,0.4970471218
1874.0,0.498700021
1880.0,0.5003529202
1886.0,0.5020058193
1892.0,0.5036587185
1898.0,0.5053116176
1904.0,0.5069645168
1916.0,0.5102703151
1922.0,0.5119232143
1928.0,0.5135761134
1934.0,0.5152290126
1940.0,0.5168819118
1946.0,0.5185348109
1952.0,0.5201877101
1958.0,0.5218406092
1964.0,0.5234935084
1970.0,0.5251464076
1976.0,0.5267993067
1982.0,0.5284522059
1988.0,0.530105105
1994.0,0.5317580042
2000.0,0.5334109034
2006.0,0.5350638025
2018.0,0.5383696008
2024.0,0.5400225
2030.0,0.5416753992
2036.0,0.5433282983
2042.0,0.5449811975
2048.0,0.5466340966
2054.0,0.5482869958
2060.0,0.549939895
2066.0,0.5515927941
2072.0,0.5532456933
2078.0,0.5548985924
2084.0,0.5565514916
2090.0,0.5582043908
2096.0,0.5598572899
2102.0,0.5615101891
2108.0,0.5631630882
2114.0,0.5648159874
2120.0,0.5664688866
2126.0,0.5681217857
2132.0,0.5697746849
2138.0,0.571427584
2144.0,0.5730804832
2168.0,0.5796920798
2174.0,0.581344979
2180.0,0.5829978782
2186.0,0.5846507773
2192.0,0.5863036765
2198.0,0.5879565756
2204.0,0.5896094748
2210.0,0.5912623739
2216.0,0.5929152731
2222.0,0.5945681723
2228.0,0.5962210714
2234.0,0.5978739706
2240.0,0.5995268697
2246.0,0.6011797689
2252.0,0.6028326681
2258.0,0.6044855672
2264.0,0.6061384664
2270.0,0.6077913655
2276.0,0.6094442647
2282.0,0.6110971639
2288.0,0.612750063
2294.0,0.6144029622
2318.0,0.6210145588
2324.0,0.622667458
2330.0,0.6243203571
2336.0,0.6259732563
2342.0,0.6276261555
2354.0,0.6309319538
2360.0,0.6325848529
2366.0,0.6342377521
2378.0,0.6375435504
2384.0,0.6391964496
2390.0,0.6408493487
2396.0,0.6425022479
2402.0,0.6441551471
2408.0,0.6458080462
2420.0,0.6491138445
2432.0,0.6524196429
2444.0,0.6557254412
2450.0,0.6573783403
2456.0,0.6590312395
2462.0,0.6606841387
2480.0,0.6656428361
2486.0,0.6672957353
2492.0,0.6689486345
2498.0,0.6706015336
2510.0,0.6739073319
2516.0,0.6755602311
2522.0,0.6772131303
2528.0,0.6788660294
2534.0,0.6805189286
2540.0,0.6821718277
2546.0,0.6838247269
2552.0,0.6854776261
2558.0,0.6871305252
2576.0,0.6920892227
2594.0,0.6970479202
2600.0,0.6987008193
2606.0,0.7003537185
2612.0,0.7020066176
2624.0,0.705312416
2630.0,0.7069653151
2636.0,0.7086182143
2642.0,0.7102711134
2654.0,0.7135769118
2660.0,0.7152298109
2666.0,0.7168827101
2672.0,0.7185356092
2684.0,0.7218414076
2690.0,0.7234943067
2696.0,0.7251472059
2702.0,0.726800105
2708.0,0.7284530042
2714.0,0.7301059034
2720.0,0.7317588025
2726.0,0.7334117017
2732.0,0.7350646008
2738.0,0.7367175
2744.0,0.7383703992
2750.0,0.7400232983
2756.0,0.7416761975
2762.0,0.7433290966
2768.0,0.7449819958
2774.0,0.746634895
2780.0,0.7482877941
2786.0,0.7499406933
2792.0,0.7515935924
2798.0,0.7532464916
2804.0,0.7548993908
2810.0,0.7565522899
2816.0,0.7582051891
2822.0,0.7598580882
2828.0,0.7615109874
2834.0,0.7631638866
