STABLE_PHASE,STABLE_PHASE
X,Y
0.0,0.0
200.0,0.0
220.0,0.0
250.0,0.0
1350.0,0.0
1380.0,0.0
1435.0,0.0
1450.0,0.0
1460.0,0.0
1466.0,0.277
1472.0,0.424
1478.0,0.566
1484.0,0.726
1490.0,0.911
1496.0,1.118
1502.0,1.326
1508.0,1.533
1514.0,1.741
1520.0,1.99
1526.0,2.28
1532.0,2.57
1538.0,2.861
1544.0,3.151
1550.0,3.564
1556.0,4.101
1562.0,4.637
1568.0,5.174
1574.0,5.712
1580.0,6.306
1586.0,6.957
1592.0,7.608
1598.0,8.26
1604.0,8.914
1610.0,9.726
1616.0,10.697
1622.0,11.672
1628.0,12.649
1634.0,13.631
1640.0,14.689
1646.0,15.826
1652.0,16.969
1658.0,18.119
1664.0,19.277
1670.0,24.234
1673.0,56.523
1676.0,90.0
1682.0,120.436
1683.0,151.32
1685.0,155.344
1688.0,160.054
1694.0,160.18
1700.0,160.47
1706.0,160.689
1712.0,160.682
1718.0,160.62
1724.0,160.555
1730.0,160.494
1736.0,160.432
1742.0,160.371
1748.0,160.307
1754.0,160.245
1760.0,160.181
1766.0,160.117
1772.0,160.055
1778.0,159.991
1784.0,159.927
1790.0,159.866
1796.0,159.799
1802.0,159.738
1808.0,159.674
1814.0,159.61
1820.0,159.534
1826.0,159.457
1832.0,159.381
1838.0,159.305
1844.0,159.229
1850.0,159.152
1856.0,159.076
1862.0,159.0
1868.0,158.923
1874.0,158.846
1880.0,158.77
1886.0,158.693
1892.0,158.616
1898.0,158.54
1904.0,158.463
1910.0,158.386
1916.0,158.309
1922.0,158.232
1928.0,158.154
1934.0,158.074
1940.0,157.997
1946.0,157.919
1952.0,157.842
1958.0,157.764
1964.0,157.687
1970.0,157.609
1976.0,157.532
1982.0,157.454
1988.0,157.376
1994.0,157.298
2000.0,157.22
2006.0,157.142
2012.0,157.064
2018.0,156.986
2024.0,156.908
2030.0,156.83
2036.0,156.765
2042.0,156.697
2048.0,156.633
2054.0,156.565
2060.0,156.501
2066.0,156.437
2072.0,156.369
2078.0,156.305
2084.0,156.24
2090.0,156.173
2096.0,156.108
2102.0,156.041
2108.0,155.976
2114.0,155.901
2120.0,155.826
2126.0,155.751
2132.0,155.676
2138.0,155.601
2144.0,155.526
2150.0,155.451
2156.0,155.375
2162.0,155.3
