SYPERIOD,SYPERIOD
X,Y
0.0,0.002187
200.0,0.002187
220.0,0.002187
250.0,0.001589
1350.0,0.001589
1380.0,0.002193
1435.0,0.002193
1450.0,0.002193
1460.0,8.8E-4
1466.0,8.17E-4
1472.0,7.83E-4
1478.0,7.67E-4
1484.0,7.68E-4
1490.0,7.71E-4
1496.0,7.74E-4
1502.0,7.78E-4
1508.0,7.83E-4
1514.0,7.89E-4
1520.0,7.96E-4
1526.0,8.03E-4
1532.0,8.12E-4
1538.0,8.22E-4
1544.0,8.34E-4
1550.0,8.47E-4
1556.0,8.62E-4
1562.0,8.79E-4
1568.0,8.99E-4
1574.0,9.23E-4
1580.0,9.49E-4
1586.0,9.8E-4
1592.0,0.001015
1598.0,0.001055
1604.0,0.001101
1610.0,0.001154
1616.0,0.001217
1622.0,0.001291
1628.0,0.001381
1634.0,0.001489
1640.0,0.001624
1646.0,0.001794
1652.0,0.00202
1658.0,0.002335
1664.0,0.002817
1670.0,0.004114
1673.0,0.009156
1676.0,0.0249
1682.0,0.018058
1683.0,0.008566
1685.0,0.006217
1688.0,0.004443
1694.0,0.003465
1700.0,0.002966
1706.0,0.002662
1712.0,0.002468
1718.0,0.002331
1724.0,0.002229
1730.0,0.002149
1736.0,0.002085
1742.0,0.002035
1748.0,0.001993
1754.0,0.001959
1760.0,0.001931
1766.0,0.001908
1772.0,0.001889
1778.0,0.001873
1784.0,0.00186
1790.0,0.001849
1796.0,0.001841
1802.0,0.001834
1808.0,0.001829
1814.0,0.001825
1820.0,0.001823
1826.0,0.001821
1832.0,0.001821
1838.0,0.001822
1844.0,0.001824
1850.0,0.001826
1856.0,0.001829
1862.0,0.001832
1868.0,0.001836
1874.0,0.00184
1880.0,0.001845
1886.0,0.00185
1892.0,0.001855
1898.0,0.001861
1904.0,0.001867
1910.0,0.001874
1916.0,0.00188
1922.0,0.001887
1928.0,0.001894
1934.0,0.001902
1940.0,0.001909
1946.0,0.001917
1952.0,0.001924
1958.0,0.001932
1964.0,0.001941
1970.0,0.001949
1976.0,0.001957
1982.0,0.001966
1988.0,0.001974
1994.0,0.001983
2000.0,0.001992
2006.0,0.002001
2012.0,0.00201
2018.0,0.002019
2024.0,0.002028
2030.0,0.002037
2036.0,0.002046
2042.0,0.002055
2048.0,0.002063
2054.0,0.002072
2060.0,0.002081
2066.0,0.00209
2072.0,0.002099
2078.0,0.002108
2084.0,0.002117
2090.0,0.002126
2096.0,0.002135
2102.0,0.002145
2108.0,0.002154
2114.0,0.002164
2120.0,0.002173
2126.0,0.002183
2132.0,0.002193
2138.0,0.002203
2144.0,0.002213
2150.0,0.002223
2156.0,0.002233
2162.0,0.002243
2168.0,0.002253
2174.0,0.002263
2180.0,0.002273
2186.0,0.002283
2192.0,0.002293
2198.0,0.002303
2204.0,0.002313
2210.0,0.002323
2216.0,0.002333
2222.0,0.002343
2228.0,0.002354
2234.0,0.002364
2240.0,0.002374
2246.0,0.002384
2252.0,0.002394
2258.0,0.002405
2264.0,0.002415
2270.0,0.002425
2276.0,0.002435
2282.0,0.002446
2288.0,0.002456
2294.0,0.002466
2300.0,0.002477
2306.0,0.002487
2312.0,0.002497
2318.0,0.002508
2324.0,0.002518
2330.0,0.002529
2336.0,0.002539
2342.0,0.002549
2348.0,0.00256
2354.0,0.00257
2360.0,0.002581
2366.0,0.002591
2372.0,0.002602
2378.0,0.002612
2384.0,0.002623
2390.0,0.002633
2396.0,0.002644
2402.0,0.002654
2408.0,0.002665
2414.0,0.002675
2420.0,0.002686
2426.0,0.002696
2432.0,0.002707
2438.0,0.002717
2444.0,0.002728
2450.0,0.002739
2456.0,0.002749
2462.0,0.00276
2468.0,0.00277
2474.0,0.002781
2480.0,0.002792
2486.0,0.002802
2492.0,0.002813
2498.0,0.002824
2504.0,0.002834
2510.0,0.002845
2516.0,0.002856
2522.0,0.002866
2528.0,0.002877
2534.0,0.002888
2540.0,0.002898
2546.0,0.002909
2552.0,0.00292
2558.0,0.00293
2564.0,0.002941
2570.0,0.002952
2576.0,0.002963
2582.0,0.002974
2588.0,0.002984
2594.0,0.002995
2600.0,0.003006
2606.0,0.003017
2612.0,0.003028
2618.0,0.003038
2624.0,0.003049
2630.0,0.00306
2636.0,0.003071
2642.0,0.003082
2648.0,0.003093
2654.0,0.003103
2660.0,0.003114
2666.0,0.003125
2672.0,0.003136
2678.0,0.003147
2684.0,0.003158
2690.0,0.003169
2696.0,0.00318
2702.0,0.003191
2708.0,0.003202
2714.0,0.003213
2720.0,0.003224
2726.0,0.003235
2732.0,0.003246
2738.0,0.003257
2744.0,0.003268
2750.0,0.003279
2756.0,0.00329
2762.0,0.003301
2768.0,0.003312
2774.0,0.003323
2780.0,0.003334
2786.0,0.003345
2792.0,0.003357
2798.0,0.003368
2804.0,0.003379
2810.0,0.00339
2816.0,0.003401
2822.0,0.003412
2828.0,0.003424
2834.0,0.003435
2840.0,0.003446
2846.0,0.003457
2852.0,0.003468
2858.0,0.003479
2864.0,0.003489
2888.0,0.003527
2894.0,0.003537
2906.0,0.003555
2918.0,0.003573
2930.0,0.003593
2936.0,0.003602
2942.0,0.003611
2948.0,0.003621
2960.0,0.003639
2966.0,0.003649
2972.0,0.003657
2978.0,0.003667
2984.0,0.003676
2996.0,0.003694
3008.0,0.003712
3014.0,0.003721
3020.0,0.00373
3032.0,0.003748
3044.0,0.003766
3050.0,0.003775
3056.0,0.003783
3068.0,0.003801
3074.0,0.003808
3080.0,0.003819
3086.0,0.003828
3092.0,0.003836
3098.0,0.003845
3104.0,0.003854
3122.0,0.00388
3128.0,0.003888
3134.0,0.003897
3140.0,0.003906
3152.0,0.003923
3158.0,0.003931
3164.0,0.00394
3170.0,0.003948
3176.0,0.003957
3188.0,0.003974
3194.0,0.003982
3200.0,0.003991
3206.0,0.003999
3224.0,0.004024
3230.0,0.004033
3242.0,0.004049
3248.0,0.004058
3254.0,0.004066
3260.0,0.004074
3266.0,0.004082
3272.0,0.004091
3278.0,0.004098
3284.0,0.004107
3302.0,0.004132
3308.0,0.004139
3314.0,0.004148
3320.0,0.004156
3326.0,0.004164
3332.0,0.004172
3338.0,0.00418
3350.0,0.004196
