TWC_200/TOTAL_VOLTAGE,TWC_200/TOTAL_VOLTAGE
X,Y
0.0,0.811
200.0,0.811
220.0,0.811
250.0,1.536
1350.0,1.536
1380.0,0.807
1435.0,0.807
1450.0,0.807
1460.0,5.016
1466.0,5.818
1472.0,6.343
1478.0,6.645
1484.0,6.66
1490.0,6.66
1496.0,6.66
1502.0,6.66
1508.0,6.66
1514.0,6.66
1520.0,6.66
1526.0,6.66
1532.0,6.66
1538.0,6.66
1544.0,6.66
1550.0,6.66
1556.0,6.66
1562.0,6.66
1568.0,6.66
1574.0,6.66
1580.0,6.66
1586.0,6.66
1592.0,6.661
1598.0,6.661
1604.0,6.661
1610.0,6.661
1616.0,6.661
1622.0,6.661
1628.0,6.661
1634.0,6.661
1640.0,6.661
1646.0,6.661
1652.0,6.661
1658.0,6.661
1664.0,6.661
1670.0,5.523
1673.0,2.723
1676.0,1.96
1682.0,2.649
1683.0,4.762
1685.0,5.485
1688.0,6.72
1694.0,6.786
1700.0,6.908
1706.0,7.009
1712.0,7.032
1718.0,7.036
1724.0,7.039
1730.0,7.043
1736.0,7.047
1742.0,7.051
1748.0,7.054
1754.0,7.058
1760.0,7.061
1766.0,7.064
1772.0,7.068
1778.0,7.071
1784.0,7.074
1790.0,7.078
1796.0,7.08
1802.0,7.084
1808.0,7.087
1814.0,7.09
1820.0,7.089
1826.0,7.088
1832.0,7.087
1838.0,7.086
1844.0,7.085
1850.0,7.084
1856.0,7.083
1862.0,7.082
1868.0,7.081
1874.0,7.08
1880.0,7.079
1886.0,7.078
1892.0,7.077
1898.0,7.076
1904.0,7.075
1910.0,7.074
1916.0,7.073
1922.0,7.072
1928.0,7.071
1934.0,7.069
1940.0,7.068
1946.0,7.067
1952.0,7.066
1958.0,7.065
1964.0,7.064
1970.0,7.063
1976.0,7.062
1982.0,7.061
1988.0,7.06
1994.0,7.059
2000.0,7.058
2006.0,7.057
2012.0,7.056
2018.0,7.055
2024.0,7.054
2030.0,7.053
2036.0,7.056
2042.0,7.058
2048.0,7.061
2054.0,7.063
2060.0,7.066
2066.0,7.069
2072.0,7.071
2078.0,7.074
2084.0,7.077
2090.0,7.079
2096.0,7.082
2102.0,7.084
2108.0,7.087
2114.0,7.087
2120.0,7.087
2126.0,7.087
2132.0,7.087
2138.0,7.087
2144.0,7.087
2150.0,7.087
2156.0,7.087
2162.0,7.087
2168.0,7.087
2174.0,7.087
2180.0,7.087
2186.0,7.087
2192.0,7.087
2198.0,7.087
2204.0,7.087
2210.0,7.087
2216.0,7.087
2222.0,7.087
2228.0,7.087
2234.0,7.087
2240.0,7.087
2246.0,7.087
2252.0,7.087
2258.0,7.087
2264.0,7.087
2270.0,7.087
2276.0,7.087
2282.0,7.087
2288.0,7.087
2294.0,7.087
2300.0,7.087
2306.0,7.087
2312.0,7.087
2318.0,7.087
2324.0,7.087
2330.0,7.087
2336.0,7.087
2342.0,7.087
2348.0,7.087
2354.0,7.087
2360.0,7.087
2366.0,7.087
2372.0,7.087
2378.0,7.087
2384.0,7.087
2390.0,7.087
2396.0,7.087
2402.0,7.087
2408.0,7.087
2414.0,7.087
2420.0,7.087
2426.0,7.087
2432.0,7.087
2438.0,7.087
2444.0,7.087
2450.0,7.087
2456.0,7.087
2462.0,7.087
2468.0,7.087
2474.0,7.087
2480.0,7.087
2486.0,7.087
2492.0,7.087
2498.0,7.087
2504.0,7.087
2510.0,7.087
2516.0,7.087
2522.0,7.087
2528.0,7.087
2534.0,7.087
2540.0,7.087
2546.0,7.087
2552.0,7.087
2558.0,7.087
2564.0,7.087
2570.0,7.087
2576.0,7.087
2582.0,7.087
2588.0,7.087
2594.0,7.087
2600.0,7.087
2606.0,7.087
2612.0,7.087
2618.0,7.087
2624.0,7.087
2630.0,7.087
2636.0,7.087
2642.0,7.087
2648.0,7.087
2654.0,7.087
2660.0,7.087
2666.0,7.087
2672.0,7.087
2678.0,7.087
2684.0,7.087
2690.0,7.087
2696.0,7.087
2702.0,7.087
2708.0,7.087
2714.0,7.087
2720.0,7.087
2726.0,7.087
2732.0,7.087
2738.0,7.087
2744.0,7.087
2750.0,7.087
2756.0,7.087
2762.0,7.087
2768.0,7.087
2774.0,7.087
2780.0,7.087
2786.0,7.087
2792.0,7.087
2798.0,7.087
2804.0,7.087
2810.0,7.087
2816.0,7.087
2822.0,7.087
2828.0,7.087
2834.0,7.087
2840.0,7.087
2846.0,7.087
2852.0,7.087
2858.0,7.087
2864.0,7.087
2888.0,7.087
2894.0,7.086
2906.0,7.087
2918.0,7.09
2930.0,7.087
2936.0,7.087
2942.0,7.087
2948.0,7.087
2960.0,7.087
2966.0,7.086
2972.0,7.087
2978.0,7.087
2984.0,7.087
2996.0,7.087
3008.0,7.087
3014.0,7.087
3020.0,7.086
3032.0,7.086
3044.0,7.087
3050.0,7.087
3056.0,7.087
3068.0,7.088
3074.0,7.092
3080.0,7.087
3086.0,7.087
3092.0,7.087
3098.0,7.086
3104.0,7.086
3122.0,7.087
3128.0,7.087
3134.0,7.087
