SPSBEAM/B,SPSBEAM/B
X,Y
0.0,0.06075
6.0,0.060777
12.0,0.060858
18.0,0.060993
24.0,0.061182
30.0,0.061425
36.0,0.0617429925
42.0,0.06215697
48.0,0.0626669325
54.0,0.06327288
60.0,0.0639748125
66.0,0.06477273
72.0,0.0656666325
78.0,0.06665652
84.0,0.0677080943
90.0,0.0687098864
96.0,0.0696533216
102.0,0.0705384
108.0,0.0713651216
114.0,0.0721334864
120.0,0.0728434943
126.0,0.0734951455
132.0,0.0740884398
138.0,0.0746233773
144.0,0.075099958
150.0,0.0755181818
156.0,0.0758780489
162.0,0.0761795591
168.0,0.0764227125
174.0,0.0766075091
180.0,0.0767339489
186.0,0.0768020318
192.0,0.076815
725.0,0.076815
1345.0,0.076815
1351.0,0.07681905
1357.0,0.0768312
1363.0,0.07685145
1369.0,0.0768798
1375.0,0.07691625
1381.0,0.0769608
1387.0,0.07701345
1393.0,0.0770742
1399.0,0.07714305
1405.0,0.07722
1411.0,0.07730505
1417.0,0.0773982
1423.0,0.07749945
1429.0,0.0776088
1435.0,0.07772625
1441.0,0.0778518
1447.0,0.07798545
1453.0,0.0781272
1459.0,0.07827705
1465.0,0.078435
1471.0,0.07860105
1477.0,0.0787752
1483.0,0.07895745
1489.0,0.0791478
1495.0,0.07934625
1501.0,0.0795528
1507.0,0.07976745
1513.0,0.0799902
1519.0,0.08022105
1525.0,0.08046
1531.0,0.08070705
1537.0,0.0809622
1543.0,0.08122545
1549.0,0.0814968
1555.0,0.08177625
1561.0,0.0820638
1567.0,0.08235945
1573.0,0.0826632
1579.0,0.08297505
1585.0,0.083295
1591.0,0.08362305
1597.0,0.0839592
1603.0,0.08430345
1609.0,0.0846558
1615.0,0.08501625
1621.0,0.0853848
1627.0,0.08576145
1633.0,0.0861462
1639.0,0.08653905
1645.0,0.08694
1651.0,0.08734905
1657.0,0.0877662
1663.0,0.08819145
1669.0,0.0886248
1675.0,0.08906625
1681.0,0.0895158
1687.0,0.08997345
1693.0,0.0904392
1699.0,0.09091305
1705.0,0.091395
1711.0,0.09188505
1717.0,0.0923832
1723.0,0.09288945
1729.0,0.0934038
1735.0,0.09392625
1741.0,0.0944568
1747.0,0.094996125
1753.0,0.095553
1759.0,0.096130125
1765.0,0.0967275
1771.0,0.097345125
1777.0,0.097983
1783.0,0.098641125
1789.0,0.0993195
1795.0,0.100018125
1801.0,0.100737
1807.0,0.101476125
1813.0,0.1022355
1819.0,0.103015125
1825.0,0.103815
1831.0,0.104635125
1837.0,0.1054755
1843.0,0.106336125
1849.0,0.107217
1855.0,0.108118125
1861.0,0.1090395
1867.0,0.109981125
1873.0,0.110943
1879.0,0.111925125
1885.0,0.1129275
1891.0,0.113950125
1897.0,0.114993
1903.0,0.116056125
1909.0,0.1171395
1915.0,0.118243125
1921.0,0.119367
1927.0,0.120511125
1933.0,0.1216755
1939.0,0.122860125
1945.0,0.124065
1951.0,0.125290125
1957.0,0.1265355
1963.0,0.127801125
1969.0,0.129087
1975.0,0.130393125
1981.0,0.1317195
1987.0,0.133066125
1993.0,0.134433
1999.0,0.135820125
2005.0,0.1372275
2011.0,0.138655125
2017.0,0.140103
2023.0,0.141571125
2029.0,0.1430595
2035.0,0.144568125
2041.0,0.146097
2047.0,0.147646125
2053.0,0.1492155
2059.0,0.150805125
2065.0,0.152415
2071.0,0.154045125
2077.0,0.1556955
2083.0,0.157366125
2089.0,0.159057
2095.0,0.160768125
2101.0,0.1624995
2107.0,0.164251125
2113.0,0.166023
2119.0,0.167815125
2125.0,0.1696275
2131.0,0.171460125
2137.0,0.173313
2143.0,0.175186125
2149.0,0.1770795
2155.0,0.178993125
2161.0,0.180927
2167.0,0.182881125
2173.0,0.1848555
2179.0,0.186850125
2185.0,0.188865
2191.0,0.190900125
2197.0,0.1929555
2203.0,0.195031125
2209.0,0.197127
2215.0,0.199243125
2221.0,0.2013795
2227.0,0.203536125
2233.0,0.205713
2239.0,0.207910125
2245.0,0.2101275
2251.0,0.212365125
2257.0,0.214623
2263.0,0.216901125
2269.0,0.2191995
2275.0,0.221518125
2281.0,0.223857
2287.0,0.226216125
2293.0,0.2285955
2299.0,0.230995125
2305.0,0.233415
2311.0,0.235855125
2317.0,0.2383155
2323.0,0.240796125
2329.0,0.243297
2335.0,0.245818125
2341.0,0.2483595
2347.0,0.250921125
2353.0,0.253503
2359.0,0.256105125
2365.0,0.2587275
2371.0,0.261370125
2377.0,0.264033
2383.0,0.266716125
2389.0,0.2694195
2395.0,0.272143125
2401.0,0.274887
2407.0,0.277651125
2413.0,0.2804355
2419.0,0.283240125
2425.0,0.286065
2431.0,0.288910125
2437.0,0.2917755
2443.0,0.294661125
2449.0,0.297567
2455.0,0.300493125
2461.0,0.3034395
2467.0,0.306406125
2473.0,0.309393
2479.0,0.312400125
2485.0,0.3154275
2491.0,0.318475125
2497.0,0.321543
2503.0,0.324631125
2509.0,0.3277395
2515.0,0.330868125
2521.0,0.334017
2527.0,0.337186125
2533.0,0.3403755
2539.0,0.343585125
2545.0,0.346815
2551.0,0.350059455
2557.0,0.35331282
2563.0,0.356575095
2569.0,0.35984628
2575.0,0.363126375
2581.0,0.36641538
2587.0,0.369713295
2593.0,0.37302012
2599.0,0.376335855
2605.0,0.3796605
2611.0,0.382994055
2617.0,0.38633652
2623.0,0.389687895
2629.0,0.39304818
2635.0,0.396417375
2641.0,0.39979548
2647.0,0.403182495
2653.0,0.40657842
2659.0,0.409983255
2665.0,0.413397
2671.0,0.416819655
2677.0,0.42025122
2683.0,0.423691695
2689.0,0.42714108
2695.0,0.430599375
2701.0,0.43406658
2707.0,0.437542695
2713.0,0.44102772
2719.0,0.444521655
2725.0,0.4480245
2731.0,0.451536255
2737.0,0.45505692
2743.0,0.458586495
2749.0,0.46212498
2755.0,0.465672375
2761.0,0.46922868
