TWC_200/FREQUENCY_PROGRAM,TWC_200/FREQUENCY_PROGRAM
X,Y
0.0,1.9739636607022926E8
6.0,1.9739897034251773E8
12.0,1.9740676298856175E8
18.0,1.9741968383960158E8
24.0,1.974376337499153E8
30.0,1.9746047626511165E8
36.0,1.9748997353241405E8
42.0,1.9752771748798963E8
48.0,1.975732171847867E8
50.0,1.9759077689991754E8
54.0,1.9762589633017924E8
60.0,1.976851088581623E8
66.0,1.9775015559991723E8
72.0,1.9782030134528387E8
78.0,1.9789479162751588E8
84.0,1.9797045843760866E8
90.0,1.9803941132351184E8
96.0,1.981017080503469E8
100.0,1.98139198652679E8
102.0,1.9815794395384505E8
108.0,1.9820863429129633E8
114.0,1.9825422555958942E8
120.0,1.9829510485676467E8
126.0,1.983316076488801E8
132.0,1.9836402422774842E8
138.0,1.983926050873469E8
144.0,1.984175653993607E8
150.0,1.984390887329872E8
156.0,1.9845733013480276E8
162.0,1.984724186609358E8
168.0,1.9848445943586802E8
174.0,1.984935352955635E8
180.0,1.9849970806067407E8
186.0,1.9850301947410172E8
192.0,1.985036492401879E8
725.0,1.985036492401879E8
1295.0,1.985036492401879E8
1305.0,1.9850207833949807E8
1325.0,1.9850207833949807E8
1335.0,1.9850311136885405E8
1345.0,1.9850311136885405E8
1351.0,1.985033080439262E8
1357.0,1.985038978860479E8
1363.0,1.985048803463118E8
1369.0,1.985062545111271E8
1375.0,1.9850801910409713E8
1381.0,1.9851017248863846E8
1387.0,1.9851271267133257E8
1393.0,1.9851563730599737E8
1399.0,1.9851894369846487E8
1405.0,1.9852262881204805E8
1411.0,1.9852668927367687E8
1417.0,1.9853112138068336E8
1423.0,1.985359211082106E8
1429.0,1.985410841172213E8
1435.0,1.9854660576307765E8
1441.0,1.985524811046637E8
1447.0,1.9855870491401914E8
1453.0,1.9856527168645242E8
1459.0,1.985721756511001E8
1465.0,1.985794107818971E8
1471.0,1.9858697080892298E8
1477.0,1.9859484923008823E8
1483.0,1.9860303932312292E8
1489.0,1.9861153415783107E8
1495.0,1.9862032660857403E8
1501.0,1.9862940936694333E8
1507.0,1.9863877495458817E8
1513.0,1.9864841573615816E8
1519.0,1.9865832393232617E8
1525.0,1.9866849163285413E8
1531.0,1.9867891080966696E8
1537.0,1.9868957332989967E8
1543.0,1.9870047096888375E8
1549.0,1.9871159542304096E8
1555.0,1.9872293832265225E8
1561.0,1.9873449124447235E8
1567.0,1.9874624572416097E8
1573.0,1.9875819326850307E8
1579.0,1.9877032536739305E8
1585.0,1.9878263350555763E8
1591.0,1.987951091739959E8
1597.0,1.9880774388111475E8
1603.0,1.9882052916354036E8
1609.0,1.9883345659658924E8
1615.0,1.988465178043812E8
1621.0,1.9885970446958166E8
1627.0,1.9887300834276003E8
1633.0,1.9888642125135314E8
1639.0,1.9889993510822558E8
1645.0,1.9891354191981822E8
1651.0,1.9892723379387987E8
1657.0,1.989410029467773E8
1663.0,1.9895484171038106E8
1669.0,1.989687425385249E8
1675.0,1.9898269801304004E8
1681.0,1.9899670084936425E8
1687.0,1.9901074390172884E8
1693.0,1.9902482016792762E8
1699.0,1.9903892279367217E8
1705.0,1.9905304507653898E8
1711.0,1.9906718046951643E8
1717.0,1.990813225841583E8
1723.0,1.99095465193353E8
1729.0,1.9910960223371744E8
1735.0,1.9912372780762613E8
1741.0,1.991378361848853E8
1747.0,1.9915193930690068E8
1753.0,1.9916625455366075E8
1759.0,1.991808317900403E8
1765.0,1.9919564980922303E8
