SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.720665
42.0,13.81266
48.0,13.925985
54.0,14.06064
60.0,14.216625
66.0,14.39394
72.0,14.592585
78.0,14.81256
84.0,15.0462431818
90.0,15.2688636364
96.0,15.4785159091
102.0,15.6752
108.0,15.8589159091
114.0,16.0296636364
120.0,16.1874431818
126.0,16.3322545455
132.0,16.4640977273
138.0,16.5829727273
144.0,16.6888795455
150.0,16.7818181818
156.0,16.8617886364
162.0,16.9287909091
168.0,16.982825
174.0,17.0238909091
180.0,17.0519886364
186.0,17.0671181818
192.0,17.07
725.0,17.07
1345.0,17.07
1351.0,17.0709
1357.0,17.0736
1363.0,17.0781
1369.0,17.0844
1375.0,17.0925
1381.0,17.1024
1387.0,17.1141
1393.0,17.1276
1399.0,17.1429
1405.0,17.16
1411.0,17.1789
1417.0,17.1996
1423.0,17.2221
1429.0,17.2464
1435.0,17.2725
1441.0,17.3004
1447.0,17.3301
1453.0,17.3616
1459.0,17.3949
1465.0,17.43
1471.0,17.4669
1477.0,17.5056
1483.0,17.5461
1489.0,17.5884
1495.0,17.6325
1501.0,17.6784
1507.0,17.7261
1513.0,17.7756
1519.0,17.8269
1525.0,17.88
1531.0,17.9349
1537.0,17.9916
1543.0,18.0501
1549.0,18.1104
1555.0,18.1725
1561.0,18.2364
1567.0,18.3021
1573.0,18.3696
1579.0,18.4389
1585.0,18.51
1591.0,18.5829
1597.0,18.6576
1603.0,18.7341
1609.0,18.8124
1615.0,18.8925
1621.0,18.9744
1627.0,19.0581
1633.0,19.1436
1639.0,19.2309
1645.0,19.32
1651.0,19.4109
1657.0,19.5036
1663.0,19.5981
1669.0,19.6944
1675.0,19.7925
1681.0,19.8924
1687.0,19.9941
1693.0,20.0976
1699.0,20.2029
1705.0,20.31
1711.0,20.4189
1717.0,20.5296
1723.0,20.6421
1729.0,20.7564
1735.0,20.8725
1741.0,20.9904
1747.0,21.11025
1753.0,21.234
1759.0,21.36225
1765.0,21.495
1771.0,21.63225
1777.0,21.774
1783.0,21.92025
1789.0,22.071
1795.0,22.22625
1801.0,22.386
1807.0,22.55025
1813.0,22.719
1819.0,22.89225
1825.0,23.07
1831.0,23.25225
1837.0,23.439
1843.0,23.63025
1849.0,23.826
1855.0,24.02625
1861.0,24.231
1867.0,24.44025
1873.0,24.654
1879.0,24.87225
1885.0,25.095
1891.0,25.32225
1897.0,25.554
1903.0,25.79025
1909.0,26.031
1915.0,26.27625
1921.0,26.526
1927.0,26.78025
1933.0,27.039
1939.0,27.30225
1945.0,27.57
1951.0,27.84225
1957.0,28.119
1963.0,28.40025
1969.0,28.686
1975.0,28.97625
1981.0,29.271
1987.0,29.57025
1993.0,29.874
1999.0,30.18225
2005.0,30.495
2011.0,30.81225
2017.0,31.134
2023.0,31.46025
2029.0,31.791
2035.0,32.12625
2041.0,32.466
2047.0,32.81025
2053.0,33.159
2059.0,33.51225
2065.0,33.87
2071.0,34.23225
2077.0,34.599
2083.0,34.97025
2089.0,35.346
2095.0,35.72625
2101.0,36.111
2107.0,36.50025
2113.0,36.894
2119.0,37.29225
