TWC_200/BUCKET_AREA_CALC,TWC_200/BUCKET_AREA_CALC
X,Y
0.0,1.024
35.0,1.024
100.0,0.567
1014.9999999999999,0.567
1015.0,0.567
1075.0,0.567
1095.0,0.601
4565.0,0.601
4675.0,0.601
8265.0,0.601
8412.0,0.602
8515.0,0.602
8527.0,0.6
8539.0,0.6
8551.0,0.6
8563.0,0.6
8575.0,0.6
8587.0,0.6
8599.0,0.6
8611.0,0.6
8623.0,0.6
8635.0,0.6
8647.0,0.6
8659.0,0.6
8671.0,0.6
8683.0,0.6
8695.0,0.6
8707.0,0.6
8715.0,0.6
8719.0,0.601
8731.0,0.603
8743.0,0.605
8755.0,0.607
8767.0,0.609
8779.0,0.611
8791.0,0.613
8803.0,0.615
8815.0,0.617
8827.0,0.619
8839.0,0.621
8851.0,0.623
8863.0,0.625
8875.0,0.627
8887.0,0.629
8899.0,0.631
8911.0,0.633
8923.0,0.635
8935.0,0.637
8947.0,0.639
8959.0,0.641
8971.0,0.643
8983.0,0.645
8995.0,0.647
9007.0,0.649
9015.0,0.65
9019.0,0.65
9031.0,0.65
9043.0,0.65
9055.0,0.65
9067.0,0.65
9079.0,0.65
9091.0,0.65
9103.0,0.65
9115.0,0.65
9127.0,0.65
9139.0,0.65
9151.0,0.65
9163.0,0.65
9175.0,0.65
9187.0,0.65
9199.0,0.65
9211.0,0.65
9223.0,0.65
9235.0,0.65
9247.0,0.65
9259.0,0.65
9271.0,0.65
9283.0,0.65
9295.0,0.65
9307.0,0.65
9319.0,0.65
9331.0,0.65
9343.0,0.65
9355.0,0.65
9367.0,0.65
9379.0,0.65
9391.0,0.65
9403.0,0.65
9415.0,0.65
9427.0,0.65
9439.0,0.65
9451.0,0.65
9463.0,0.65
9475.0,0.65
9487.0,0.65
9499.0,0.65
9511.0,0.65
9523.0,0.65
9535.0,0.65
9547.0,0.65
9559.0,0.65
9571.0,0.65
9583.0,0.65
9595.0,0.65
9607.0,0.65
9619.0,0.65
9631.0,0.65
9643.0,0.65
9655.0,0.65
9667.0,0.65
9679.0,0.65
9691.0,0.65
9703.0,0.65
9715.0,0.65
9727.0,0.65
9739.0,0.65
9751.0,0.65
9763.0,0.65
9775.0,0.65
9787.0,0.65
9799.0,0.65
9811.0,0.65
9823.0,0.65
9835.0,0.65
9847.0,0.65
9859.0,0.65
9871.0,0.65
9883.0,0.65
9895.0,0.65
9907.0,0.65
9919.0,0.65
9931.0,0.65
9943.0,0.65
9955.0,0.65
9967.0,0.65
9979.0,0.65
9991.0,0.65
10003.0,0.65
10015.0,0.65
10027.0,0.65
10039.0,0.65
