SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.76049
42.0,13.97196
48.0,14.28441
54.0,14.69784
60.0,15.21225
66.0,15.82764
72.0,16.54401
78.0,17.36136
84.0,18.2463227273
90.0,19.0904545455
96.0,19.8854136364
102.0,20.6312
108.0,21.3278136364
114.0,21.9752545455
120.0,22.5735227273
126.0,23.1226181818
132.0,23.6225409091
138.0,24.0732909091
144.0,24.4748681818
150.0,24.8272727273
156.0,25.1305045455
162.0,25.3845636364
168.0,25.58945
174.0,25.7451636364
180.0,25.8517045455
186.0,25.9090727273
192.0,25.92
1015.0,25.92
8515.0,25.92
8527.0,25.9208352
8539.0,25.9233408
8551.0,25.9275168
8563.0,25.9333632
8575.0,25.94088
8587.0,25.9500672
8599.0,25.9609248
8611.0,25.9734528
8623.0,25.9876512
8635.0,26.00352
8647.0,26.0210592
8659.0,26.0402688
8671.0,26.0611488
8683.0,26.0836992
8695.0,26.10792
8707.0,26.1338112
8719.0,26.1613728
8731.0,26.1906048
8743.0,26.2215072
8755.0,26.25408
8767.0,26.2883232
8779.0,26.3242368
8791.0,26.3618208
8803.0,26.4010752
8815.0,26.442
8827.0,26.4845952
8839.0,26.5288608
8851.0,26.5747968
8863.0,26.6224032
8875.0,26.67168
8887.0,26.7226272
8899.0,26.7752448
8911.0,26.8295328
8923.0,26.8854912
8935.0,26.94312
8947.0,27.0024192
8959.0,27.0633888
8971.0,27.1260288
8983.0,27.1903392
8995.0,27.25632
9007.0,27.3239712
9019.0,27.3932928
9031.0,27.4642848
9043.0,27.5369472
9055.0,27.61128
9067.0,27.6872832
9079.0,27.7649568
9091.0,27.8443008
9103.0,27.9253152
9115.0,28.008
9127.0,28.0923552
9139.0,28.1783808
9151.0,28.2660768
9163.0,28.3554432
9175.0,28.44648
9187.0,28.5391872
9199.0,28.6335648
9211.0,28.7296128
9223.0,28.8273312
9235.0,28.92672
9247.0,29.0277792
9259.0,29.1305088
9271.0,29.2349088
9283.0,29.3409792
9295.0,29.44872
9307.0,29.5581312
9319.0,29.6692128
9331.0,29.7819648
9343.0,29.8963872
9355.0,30.01248
9367.0,30.1302432
9379.0,30.2496768
9391.0,30.3707808
9403.0,30.4935552
9415.0,30.618
9427.0,30.7441152
9439.0,30.8719008
9451.0,31.0013568
9463.0,31.1324832
9475.0,31.26528
9487.0,31.3997472
9499.0,31.5358848
9511.0,31.6736928
9523.0,31.8131712
9535.0,31.95432
9547.0,32.0971392
9559.0,32.2416288
9571.0,32.3877888
9583.0,32.5356192
9595.0,32.68512
9607.0,32.8362912
9619.0,32.9891328
9631.0,33.1436448
9643.0,33.2998272
9655.0,33.45768
9667.0,33.6172032
9679.0,33.7783968
9691.0,33.9412608
9703.0,34.1057952
9715.0,34.272
9727.0,34.4398752
9739.0,34.6094208
9751.0,34.7806368
9763.0,34.9535232
9775.0,35.12808
9787.0,35.3043072
9799.0,35.4822048
9811.0,35.6617728
9823.0,35.8430112
9835.0,36.02592
9847.0,36.2104992
9859.0,36.3967488
9871.0,36.5846688
9883.0,36.7742592
9895.0,36.96552
9907.0,37.1584512
