TWC_200/TOTAL_VOLTAGE,TWC_200/TOTAL_VOLTAGE
X,Y
0.0,3.995
35.0,3.995
100.0,3.995
1015.0,3.995
1075.0,3.995
1095.0,4.5
4565.0,4.5
4675.0,4.5
8265.0,4.5
8412.0,4.505
8515.0,4.513
8527.0,4.514
8539.0,4.534
8551.0,4.554
8563.0,4.574
8575.0,4.592
8587.0,4.611
8599.0,4.629
8611.0,4.647
8623.0,4.665
8635.0,4.683
8647.0,4.7
8659.0,4.718
8671.0,4.735
8683.0,4.752
8695.0,4.77
8707.0,4.787
8715.0,4.798
8719.0,4.814
8731.0,4.861
8743.0,4.909
8755.0,4.956
8767.0,5.004
8779.0,5.052
8791.0,5.1
8803.0,5.148
8815.0,5.197
8827.0,5.245
8839.0,5.294
8851.0,5.342
8863.0,5.391
8875.0,5.44
8887.0,5.489
8899.0,5.538
8911.0,5.587
8923.0,5.636
8935.0,5.686
8947.0,5.735
8959.0,5.785
8971.0,5.834
8983.0,5.884
8995.0,5.934
9007.0,5.984
9015.0,6.017
9019.0,6.022
9031.0,6.038
9043.0,6.054
9055.0,6.07
9067.0,6.086
9079.0,6.102
9091.0,6.117
9103.0,6.132
9115.0,6.147
9127.0,6.162
9139.0,6.177
9151.0,6.191
9163.0,6.205
9175.0,6.22
9187.0,6.233
9199.0,6.247
9211.0,6.26
9223.0,6.274
9235.0,6.287
9247.0,6.299
9259.0,6.312
9271.0,6.324
9283.0,6.336
9295.0,6.348
9307.0,6.359
9319.0,6.37
9331.0,6.381
9343.0,6.392
9355.0,6.402
9367.0,6.412
9379.0,6.422
9391.0,6.432
9403.0,6.441
9415.0,6.45
9427.0,6.458
9439.0,6.467
9451.0,6.475
9463.0,6.483
9475.0,6.49
9487.0,6.497
9499.0,6.504
9511.0,6.511
9523.0,6.517
9535.0,6.523
9547.0,6.528
9559.0,6.534
9571.0,6.539
9583.0,6.544
9595.0,6.548
9607.0,6.552
9619.0,6.556
9631.0,6.56
9643.0,6.563
9655.0,6.566
9667.0,6.569
9679.0,6.571
9691.0,6.573
9703.0,6.575
9715.0,6.576
9727.0,6.578
9739.0,6.579
9751.0,6.579
9763.0,6.58
9775.0,6.58
9787.0,6.58
9799.0,6.579
9811.0,6.579
9823.0,6.578
9835.0,6.577
9847.0,6.575
9859.0,6.573
9871.0,6.572
9883.0,6.569
9895.0,6.567
9907.0,6.564
9919.0,6.561
9931.0,6.558
9943.0,6.555
9955.0,6.551
9967.0,6.548
9979.0,6.544
9991.0,6.539
10003.0,6.535
10015.0,6.53
10027.0,6.526
10039.0,6.521
10051.0,6.515
10063.0,6.51
10075.0,6.504
10087.0,6.499
10099.0,6.493
10111.0,6.487
10123.0,6.48
10135.0,6.474
10147.0,6.467
10159.0,6.461
10171.0,6.454
10183.0,6.447
10195.0,6.44
10207.0,6.432
10219.0,6.425
10231.0,6.417
10243.0,6.409
10255.0,6.402
10267.0,6.394
10279.0,6.386
10291.0,6.377
10303.0,6.369
10315.0,6.361
10327.0,6.352
10339.0,6.343
10351.0,6.335
10363.0,6.326
10375.0,6.317
10387.0,6.308
10399.0,6.299
10411.0,6.29
10423.0,6.28
10435.0,6.271
10447.0,6.262
10459.0,6.252
10471.0,6.243
10483.0,6.233
10495.0,6.224
10507.0,6.214
10519.0,6.204
10531.0,6.194
10543.0,6.184
10555.0,6.174
10567.0,6.165
10579.0,6.155
10591.0,6.144
10603.0,6.134
10615.0,6.124
10627.0,6.114
10639.0,6.104
10651.0,6.094
10663.0,6.084
10675.0,6.073
10687.0,6.063
10699.0,6.053
10711.0,6.043
10723.0,6.032
10735.0,6.022
10747.0,6.012
10759.0,6.001
10771.0,5.991
10783.0,5.981
10795.0,5.97
10807.0,5.96
10819.0,5.95
10831.0,5.939
10843.0,5.929
10855.0,5.918
10867.0,5.908
10879.0,5.898
10891.0,5.888
10903.0,5.877
10915.0,5.867
10927.0,5.857
10939.0,5.846
10951.0,5.836
10963.0,5.826
10975.0,5.816
10987.0,5.805
10999.0,5.795
11011.0,5.787
11023.0,5.787
11035.0,5.787
11047.0,5.787
11059.0,5.787
11071.0,5.787
11083.0,5.787
11095.0,5.787
11107.0,5.787
11119.0,5.787
11131.0,5.787
11143.0,5.787
11155.0,5.787
11167.0,5.787
11179.0,5.787
11191.0,5.787
11203.0,5.787
11215.0,5.787
11227.0,5.787
11239.0,5.787
11251.0,5.787
11263.0,5.787
11275.0,5.787
11287.0,5.787
11299.0,5.787
11311.0,5.787
11323.0,5.787
11335.0,5.787
11347.0,5.787
11359.0,5.787
11371.0,5.787
11383.0,5.787
11395.0,5.787
11407.0,5.787
11419.0,5.787
11431.0,5.787
11443.0,5.787
11455.0,5.787
11467.0,5.787
11479.0,5.787
11491.0,5.787
11503.0,5.787
11515.0,5.787
11527.0,5.787
11539.0,5.787
11551.0,5.787
11563.0,5.787
11575.0,5.787
11587.0,5.787
11599.0,5.787
11611.0,5.787
11623.0,5.787
11635.0,5.787
11647.0,5.787
11659.0,5.787
11671.0,5.787
11683.0,5.787
