SPSBEAM/BDot,SPSBEAM/BDot
X,Y
0.0,0.0045
6.0,0.0135
12.0,0.0225
18.0,0.0315
24.0,0.0405
30.0,0.05299875
36.0,0.06899625
42.0,0.08499375
48.0,0.10099125
54.0,0.11698875
60.0,0.13298625
72.0,0.16498125
78.0,0.1752623864
84.0,0.1669653409
102.0,0.1377869318
108.0,0.1280607955
120.0,0.1086085227
126.0,0.0988823864
132.0,0.08915625
138.0,0.0794301136
144.0,0.0697039773
150.0,0.0599778409
156.0,0.0502517045
162.0,0.0405255682
168.0,0.0307994318
174.0,0.0210732955
180.0,0.0113471591
186.0,0.0021613636
192.0,0.0
725.0,0.0
8545.0,0.0
8551.0,0.002025
8557.0,0.003375
8563.0,0.004725
8569.0,0.006075
8575.0,0.007425
8581.0,0.008775
8587.0,0.010125
8593.0,0.011475
8599.0,0.012825
8605.0,0.014175
8611.0,0.015525
8617.0,0.016875
8629.0,0.019575
8635.0,0.020925
8641.0,0.022275
8647.0,0.023625
8653.0,0.024975
8659.0,0.026325
8665.0,0.027675
8671.0,0.029025
8683.0,0.031725
8689.0,0.033075
8695.0,0.034425
8701.0,0.035775
8707.0,0.037125
8713.0,0.038475
8719.0,0.039825
8725.0,0.041175
8743.0,0.045225
8749.0,0.046575
8755.0,0.047925
8761.0,0.049275
8767.0,0.050625
8785.0,0.054675
8791.0,0.056025
8797.0,0.057375
8803.0,0.058725
8815.0,0.061425
8821.0,0.062775
8839.0,0.066825
8845.0,0.068175
8851.0,0.069525
8857.0,0.070875
8863.0,0.072225
8869.0,0.073575
8875.0,0.074925
8881.0,0.076275
8887.0,0.077625
8893.0,0.078975
8899.0,0.080325
8911.0,0.083025
8917.0,0.084375
8929.0,0.087075
8935.0,0.088425
8941.0,0.0899
8947.0,0.093
8959.0,0.1002
8965.0,0.1038
8971.0,0.1072
8977.0,0.108
9037.0,0.108
9043.0,0.108304
9049.0,0.109596
9055.0,0.110964
9061.0,0.112332
9067.0,0.1137
9073.0,0.115068
9079.0,0.116436
9085.0,0.117804
9091.0,0.118698
9097.0,0.11343
9103.0,0.106266
9109.0,0.099102
9115.0,0.091938
9121.0,0.084774
9127.0,0.07761
9133.0,0.070446
9139.0,0.063282
9151.0,0.048954
9157.0,0.04179
9163.0,0.034626
9169.0,0.027462
9175.0,0.020298
9181.0,0.013134
9187.0,0.00597
9193.0,0.001194
9195.0,0.0
11195.0,0.0
11201.0,0.002025
11207.0,0.003375
11213.0,0.004725
11219.0,0.006075
11225.0,0.007425
11231.0,0.008775
11237.0,0.010125
11243.0,0.011475
11249.0,0.012825
11255.0,0.014175
11261.0,0.015525
11267.0,0.016875
11273.0,0.018225
11279.0,0.019575
11285.0,0.020925
11297.0,0.023625
11303.0,0.024975
11309.0,0.026325
11327.0,0.030375
11333.0,0.031725
11339.0,0.033075
11345.0,0.034425
11351.0,0.035775
11357.0,0.037125
11363.0,0.038475
11369.0,0.039825
11375.0,0.041175
11381.0,0.042525
11387.0,0.043875
11393.0,0.045225
11399.0,0.046575
11405.0,0.047925
11411.0,0.049275
11417.0,0.050625
11423.0,0.051975
11429.0,0.053325
11435.0,0.054675
11441.0,0.056025
11447.0,0.057375
11459.0,0.060075
11465.0,0.061425
11471.0,0.062775
11477.0,0.064125
11483.0,0.065475
11489.0,0.066825
11501.0,0.069525
11507.0,0.070875
11513.0,0.072225
11519.0,0.073575
11525.0,0.074925
11537.0,0.077625
11549.0,0.080325
11555.0,0.081675
11561.0,0.083025
11567.0,0.084375
11579.0,0.087075
11585.0,0.088425
11591.0,0.0898875
11597.0,0.0928125
11603.0,0.0961875
11609.0,0.0995625
11621.0,0.1063125
11627.0,0.1096875
11633.0,0.1130625
11645.0,0.1198125
11651.0,0.1231875
11657.0,0.1265625
11663.0,0.1299375
11669.0,0.1333125
11675.0,0.1366875
11681.0,0.1400625
11687.0,0.1434375
11705.0,0.1535625
11711.0,0.1569375
11717.0,0.1603125
11723.0,0.1636875
11729.0,0.1670625
11735.0,0.1704375
11741.0,0.1738125
11747.0,0.1771875
11753.0,0.1805625
11759.0,0.1839375
11765.0,0.1873125
11771.0,0.1906875
11777.0,0.1940625
11789.0,0.2008125
11795.0,0.2041875
11801.0,0.2075625
11807.0,0.2109375
11813.0,0.2143125
11819.0,0.2176875
11825.0,0.2210625
11831.0,0.2244375
11843.0,0.2311875
11849.0,0.2345625
11855.0,0.2379375
11861.0,0.2413125
11867.0,0.2446875
11873.0,0.2480625
11879.0,0.2514375
11885.0,0.2548125
11891.0,0.2581875
11897.0,0.2615625
11903.0,0.2649375
11909.0,0.2683125
11915.0,0.2716875
11921.0,0.2750625
11939.0,0.2851875
11945.0,0.2885625
11951.0,0.2919375
11963.0,0.2986875
11969.0,0.3020625
11975.0,0.3054375
11981.0,0.3088125
11987.0,0.3121875
11999.0,0.3189375
12005.0,0.3223125
12011.0,0.3256875
12017.0,0.3290625
12023.0,0.3324375
12035.0,0.3391875
12041.0,0.3425625
12047.0,0.3459375
12053.0,0.3493125
12059.0,0.3526875
