SPSBEAM/ETA,SPSBEAM/ETA
X,Y
0.0,-0.0029808387
6.0,-0.0029765891
12.0,-0.0029638739
18.0,-0.0029427936
24.0,-0.0029135138
30.0,-0.0028762623
36.0,-0.0028281732
42.0,-0.0027666643
48.0,-0.0026925531
54.0,-0.002606798
60.0,-0.0025104716
66.0,-0.0024047324
72.0,-0.0022907961
78.0,-0.0021699071
84.0,-0.0020472184
90.0,-0.0019355121
96.0,-0.0018346678
102.0,-0.0017436987
108.0,-0.0016617525
114.0,-0.0015880916
120.0,-0.0015220777
126.0,-0.0014631583
132.0,-0.0014108559
138.0,-0.001364759
144.0,-0.0013245143
150.0,-0.0012898208
156.0,-0.0012604244
162.0,-0.0012361137
168.0,-0.0012167167
174.0,-0.0012020979
180.0,-0.001192156
186.0,-0.001186823
192.0,-0.0011858088
725.0,-0.0011858088
8545.0,-0.0011858088
8551.0,-0.0011854921
8557.0,-0.0011845425
8563.0,-0.0011829608
8569.0,-0.0011807485
8575.0,-0.0011779078
8581.0,-0.0011744412
8587.0,-0.001170352
8593.0,-0.0011656441
8599.0,-0.0011603218
8605.0,-0.0011543902
8611.0,-0.0011478547
8617.0,-0.0011407214
8623.0,-0.0011329968
8629.0,-0.0011246881
8635.0,-0.0011158028
8641.0,-0.0011063489
8647.0,-0.0010963351
8653.0,-0.0010857703
8659.0,-0.0010746639
8665.0,-0.0010630257
8671.0,-0.001050866
8677.0,-0.0010381953
8683.0,-0.0010250246
8689.0,-0.0010113652
8695.0,-9.972287E-4
8701.0,-9.82627E-4
8707.0,-9.675722E-4
8713.0,-9.520769E-4
8719.0,-9.361536E-4
8725.0,-9.198151E-4
8731.0,-9.030747E-4
8737.0,-8.859454E-4
8743.0,-8.684406E-4
8749.0,-8.505738E-4
8755.0,-8.323587E-4
8761.0,-8.138088E-4
8767.0,-7.949378E-4
8773.0,-7.757596E-4
8779.0,-7.56288E-4
8785.0,-7.365366E-4
8791.0,-7.165194E-4
8797.0,-6.9625E-4
8803.0,-6.757422E-4
8809.0,-6.550095E-4
8815.0,-6.340655E-4
8821.0,-6.129236E-4
8827.0,-5.915972E-4
8833.0,-5.700993E-4
8839.0,-5.484432E-4
8845.0,-5.266416E-4
8851.0,-5.047072E-4
8857.0,-4.826527E-4
8863.0,-4.604902E-4
