TWC_200/FREQUENCY_PROGRAM,TWC_200/FREQUENCY_PROGRAM
X,Y
0.0,1.9739636607022926E8
6.0,1.9739897034251773E8
12.0,1.9740676298856175E8
18.0,1.9741968383960158E8
24.0,1.974376337499153E8
30.0,1.9746047626511165E8
36.0,1.9748997353241405E8
42.0,1.9752771748798963E8
48.0,1.975732171847867E8
50.0,1.9759077689991754E8
54.0,1.9762589633017924E8
60.0,1.976851088581623E8
66.0,1.9775015559991723E8
72.0,1.9782030134528387E8
78.0,1.9789479162751588E8
84.0,1.9797045843760866E8
90.0,1.9803941132351184E8
96.0,1.981017080503469E8
100.0,1.98139198652679E8
102.0,1.9815794395384505E8
108.0,1.9820863429129633E8
114.0,1.9825422555958942E8
120.0,1.9829510485676467E8
126.0,1.983316076488801E8
132.0,1.9836402422774842E8
138.0,1.983926050873469E8
144.0,1.984175653993607E8
150.0,1.984390887329872E8
156.0,1.9845733013480276E8
162.0,1.984724186609358E8
168.0,1.9848445943586802E8
174.0,1.984935352955635E8
180.0,1.9849970806067407E8
186.0,1.9850301947410172E8
192.0,1.985036492401879E8
725.0,1.985036492401879E8
4725.0,1.985036492401879E8
4825.0,1.985036492401879E8
5625.0,1.985036492401879E8
5725.0,1.985036492401879E8
8545.0,1.985036541732579E8
8551.0,1.9850385062188885E8
8557.0,1.9850444011368987E8
8563.0,1.985054221000353E8
8569.0,1.9850679566772878E8
8575.0,1.9850855954087964E8
8581.0,1.985107120835213E8
8587.0,1.985132513029616E8
8593.0,1.98516174853853E8
8599.0,1.9851948004296878E8
8605.0,1.9852316383466786E8
8611.0,1.985272228570289E8
8617.0,1.9853165340863332E8
8623.0,1.9853645146597165E8
8629.0,1.9854161269144976E8
8635.0,1.9854713244196588E8
8641.0,1.985530057780301E8
8647.0,1.9855922747339514E8
8653.0,1.9856579202516627E8
8659.0,1.9857269366435724E8
8665.0,1.9857992636685735E8
8671.0,1.9858748386477402E8
8677.0,1.9859535965811533E8
8683.0,1.9860354702677512E8
8689.0,1.9861203904278365E8
8695.0,1.9862082858278665E8
8701.0,1.9862990834071493E8
8707.0,1.9863927084060726E8
8713.0,1.9864890844954947E8
8719.0,1.9865881339069325E8
8725.0,1.9866897775631773E8
8731.0,1.9867933684503672E8
8737.0,1.9868993998338938E8
8743.0,1.9870077897534353E8
8749.0,1.9871184554478002E8
8755.0,1.9872313134824502E8
8761.0,1.9873462798755085E8
8767.0,1.987463270221958E8
8773.0,1.9875821998157606E8
8779.0,1.9877029837696388E8
8785.0,1.987825537132276E8
8791.0,1.9879497750027028E8
8797.0,1.988075612641671E8
8803.0,1.9882029655798104E8
8809.0,1.9883317497223985E8
8815.0,1.9884618814505768E8
8821.0,1.988593277718879E8
8827.0,1.988725856148942E8
8833.0,1.9888595351192847E8
8839.0,1.988994233851074E8
8845.0,1.98912987248979E8
8851.0,1.9892663721827424E8
8857.0,1.9894036551523784E8
8863.0,1.989541644765367E8
8869.0,1.9896802655974346E8
8875.0,1.989819443493955E8
8881.0,1.9899591056263036E8
8887.0,1.990099180543996E8
8893.0,1.990239598222661E8
8899.0,1.9903802901078764E8
8905.0,1.9905211891549382E8
8911.0,1.9906622298646304E8
8917.0,1.9908033483150637E8
8923.0,1.9909444821896768E8
8929.0,1.9910855708014888E8
8935.0,1.991226555113703E8
8941.0,1.9913673777567637E8
8947.0,1.9915081777224648E8
8953.0,1.9916513789168358E8
8959.0,1.991797541744773E8
8965.0,1.9919464355243596E8
