SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.720665
42.0,13.81266
48.0,13.925985
54.0,14.06064
60.0,14.216625
66.0,14.39394
72.0,14.592585
78.0,14.81256
84.0,15.0462431818
90.0,15.2688636364
96.0,15.4785159091
102.0,15.6752
108.0,15.8589159091
114.0,16.0296636364
120.0,16.1874431818
126.0,16.3322545455
132.0,16.4640977273
138.0,16.5829727273
144.0,16.6888795455
150.0,16.7818181818
156.0,16.8617886364
162.0,16.9287909091
168.0,16.982825
174.0,17.0238909091
180.0,17.0519886364
186.0,17.0671181818
192.0,17.07
725.0,17.07
8545.0,17.07
8551.0,17.0709
8557.0,17.0736
8563.0,17.0781
8569.0,17.0844
8575.0,17.0925
8581.0,17.1024
8587.0,17.1141
8593.0,17.1276
8599.0,17.1429
8605.0,17.16
8611.0,17.1789
8617.0,17.1996
8623.0,17.2221
8629.0,17.2464
8635.0,17.2725
8641.0,17.3004
8647.0,17.3301
8653.0,17.3616
8659.0,17.3949
8665.0,17.43
8671.0,17.4669
8677.0,17.5056
8683.0,17.5461
8689.0,17.5884
8695.0,17.6325
8701.0,17.6784
8707.0,17.7261
8713.0,17.7756
8719.0,17.8269
8725.0,17.88
8731.0,17.9349
8737.0,17.9916
8743.0,18.0501
8749.0,18.1104
8755.0,18.1725
8761.0,18.2364
8767.0,18.3021
8773.0,18.3696
8779.0,18.4389
8785.0,18.51
8791.0,18.5829
8797.0,18.6576
8803.0,18.7341
8809.0,18.8124
8815.0,18.8925
8821.0,18.9744
8827.0,19.0581
8833.0,19.1436
8839.0,19.2309
8845.0,19.32
8851.0,19.4109
8857.0,19.5036
8863.0,19.5981
8869.0,19.6944
8875.0,19.7925
8881.0,19.8924
8887.0,19.9941
8893.0,20.0976
8899.0,20.2029
8905.0,20.31
8911.0,20.4189
8917.0,20.5296
8923.0,20.6421
8929.0,20.7564
8935.0,20.8725
8941.0,20.9904
8947.0,21.1102666667
8953.0,21.2342666667
8959.0,21.3630666667
8965.0,21.4966666667
8971.0,21.6350666667
8977.0,21.778
8983.0,21.922
8989.0,22.066
9001.0,22.354
9013.0,22.642
9019.0,22.786
9025.0,22.93
9031.0,23.074
9037.0,23.218
9043.0,23.362
9049.0,23.5064053333
9055.0,23.6525333333
9061.0,23.8004853333
9067.0,23.9502613333
9073.0,24.1018613333
9079.0,24.2552853333
9085.0,24.4105333333
9091.0,24.5676053333
9097.0,24.7258693333
9103.0,24.8771093333
9109.0,25.0187973333
9115.0,25.1509333333
9121.0,25.2735173333
9127.0,25.3865493333
9133.0,25.4900293333
9139.0,25.5839573333
9145.0,25.6683333333
9151.0,25.7431573333
9157.0,25.8084293333
9163.0,25.8641493333
9169.0,25.9103173333
9175.0,25.9469333333
9181.0,25.9739973333
9187.0,25.9915093333
9193.0,25.9994693333
9195.0,26.0
11195.0,26.0
11201.0,26.0009
11207.0,26.0036
11213.0,26.0081
11219.0,26.0144
11225.0,26.0225
11231.0,26.0324
11237.0,26.0441
11243.0,26.0576
11249.0,26.0729
11255.0,26.09
11261.0,26.1089
11267.0,26.1296
11273.0,26.1521
