SPSBEAM/B,SPSBEAM/B
X,Y
0.0,0.06075
6.0,0.060777
12.0,0.060858
18.0,0.060993
24.0,0.061182
30.0,0.061425
36.0,0.0616834286
42.0,0.0619187143
48.0,0.0621308571
54.0,0.0623198571
60.0,0.0624857143
66.0,0.0626284286
72.0,0.062748
78.0,0.0628444286
84.0,0.0629177143
90.0,0.0629678571
96.0,0.0629948571
102.0,0.063
200.0,0.063
1460.0,0.063
1466.0,0.0630109835
1472.0,0.0630439339
1478.0,0.0630988512
1484.0,0.0631757355
1490.0,0.0632745867
1496.0,0.0633985479
1502.0,0.0635507622
1508.0,0.0637312295
1514.0,0.0639399499
1520.0,0.0641769234
1526.0,0.0644477604
1532.0,0.0647580714
1538.0,0.0651078564
1544.0,0.0654971154
1550.0,0.0659258484
1556.0,0.0664107414
1562.0,0.0669684804
1568.0,0.0675990654
1574.0,0.0683024964
1580.0,0.0690787734
1586.0,0.0699354834
1592.0,0.0708802134
1598.0,0.0719129634
1604.0,0.0730337334
1610.0,0.0742425234
1616.0,0.0755603934
1622.0,0.0770084034
1628.0,0.0785865534
1634.0,0.0802948434
1640.0,0.0821332734
1646.0,0.0841114284
1652.0,0.0862388934
1658.0,0.0885156684
1664.0,0.0909417534
1670.0,0.0935171484
1676.0,0.0961721571
1682.0,0.0988370832
1688.0,0.1015119267
1694.0,0.1041966875
1700.0,0.1068913658
1706.0,0.1095959615
1712.0,0.1123104746
1718.0,0.115034905
1724.0,0.1177692529
1730.0,0.1205135181
1736.0,0.1232677008
1742.0,0.1260318008
1748.0,0.1288058183
1754.0,0.1315897531
1760.0,0.1343836053
1766.0,0.1371873749
1772.0,0.140001062
1778.0,0.1428246664
1784.0,0.1456581882
1790.0,0.1485016274
1796.0,0.151354984
1802.0,0.154218258
1808.0,0.1570914494
1814.0,0.1599745581
1820.0,0.1628675843
1826.0,0.1657705279
1832.0,0.1686833888
1838.0,0.1716061672
1844.0,0.174538863
1850.0,0.1774814761
1856.0,0.1804340067
1862.0,0.1833964546
1868.0,0.1863688199
1874.0,0.1893511027
1880.0,0.1923433028
1886.0,0.1953454203
1892.0,0.1983574552
1898.0,0.2013794075
1904.0,0.2044112773
1910.0,0.2074530644
1916.0,0.2105047688
1922.0,0.2135663907
1928.0,0.21663793
1934.0,0.2197193867
1940.0,0.2228107608
1946.0,0.2259120523
1952.0,0.2290232611
1958.0,0.2321443874
1964.0,0.235275431
1970.0,0.2384163921
1976.0,0.2415672705
1982.0,0.2447280664
1988.0,0.2478987796
1994.0,0.2510794102
2000.0,0.2542699583
2006.0,0.2574704237
2012.0,0.2606808065
2018.0,0.2639011067
2024.0,0.2671313243
2030.0,0.2703714593
2036.0,0.2736215117
2042.0,0.2768814815
2048.0,0.2801513687
2054.0,0.2834311733
2060.0,0.2867208952
2066.0,0.2900205346
2072.0,0.2933300914
2078.0,0.2966495655
2084.0,0.2999789571
2090.0,0.303318266
2096.0,0.3066674924
2102.0,0.3100266361
2108.0,0.3133956973
2114.0,0.3167746758
2120.0,0.3201635717
2126.0,0.323562385
2132.0,0.3269711157
2138.0,0.3303897638
2144.0,0.3338183294
2150.0,0.3372568123
2156.0,0.3407052125
2162.0,0.3441635302
2168.0,0.3476317653
2174.0,0.3511099178
2180.0,0.3545979877
2186.0,0.3580959749
2192.0,0.3616038796
2198.0,0.3651217017
2204.0,0.3686494411
2210.0,0.372187098
2216.0,0.3757346722
2222.0,0.3792921638
2228.0,0.3828595729
2234.0,0.3864368993
2240.0,0.3900241431
2246.0,0.3936213044
2252.0,0.397228383
2258.0,0.400845379
2264.0,0.4044722924
2270.0,0.4081091232
2276.0,0.4117558714
2282.0,0.415412537
2288.0,0.4190791199
2294.0,0.4227556203
2300.0,0.4264420381
2306.0,0.4301383733
2312.0,0.4338446258
2318.0,0.4375607958
2324.0,0.4412868831
2330.0,0.4450228879
2336.0,0.44876881
2342.0,0.4525246496
2348.0,0.4562904065
2354.0,0.4600660808
2360.0,0.4638516725
2366.0,0.4676471817
2372.0,0.4714526082
2378.0,0.4752679521
2384.0,0.4790932134
2390.0,0.4829283921
2396.0,0.4867734882
2402.0,0.4906285017
2408.0,0.4944934325
2414.0,0.4983682808
2420.0,0.5022530465
2426.0,0.5061477296
2432.0,0.51005233
2438.0,0.5139668479
2444.0,0.5178912831
2450.0,0.5218256358
2456.0,0.5257699058
2462.0,0.5297240933
2468.0,0.5336881981
2474.0,0.5376622203
2480.0,0.5416461599
2486.0,0.545640017
2492.0,0.5496437914
2498.0,0.5536574832
2504.0,0.5576810924
2510.0,0.561714619
2516.0,0.565758063
2522.0,0.5698114244
2528.0,0.5738747031
2534.0,0.5779478993
2540.0,0.5820310129
2546.0,0.5861240438
2552.0,0.5902269922
2558.0,0.594339858
2564.0,0.5984626411
2570.0,0.6025953417
2576.0,0.6067379596
2582.0,0.6108904949
2588.0,0.6150529477
2594.0,0.6192253178
2600.0,0.6234076053
2606.0,0.6275998102
2612.0,0.6318019325
2618.0,0.6360139723
2624.0,0.6402359294
2630.0,0.6444678038
2636.0,0.6487095957
2642.0,0.652961305
2648.0,0.6572229317
2654.0,0.6614944758
2660.0,0.6657759373
2666.0,0.6700673161
2672.0,0.6743686124
2678.0,0.678679826
2684.0,0.6830009571
2690.0,0.6873320055
2696.0,0.6916729714
2702.0,0.6960238546
2708.0,0.7003846552
2714.0,0.7047553733
2720.0,0.7091360087
2726.0,0.7135265615
2732.0,0.7179270317
2738.0,0.7223374193
2744.0,0.7267577243
2750.0,0.7311879467
2756.0,0.7356280865
2762.0,0.7400781437
2768.0,0.7445381183
2774.0,0.7490080102
2780.0,0.7534878196
2786.0,0.7579775464
2792.0,0.7624771905
2798.0,0.7669867521
2804.0,0.771506231
2810.0,0.7760356274
2816.0,0.7805749411
2822.0,0.7851241723
2828.0,0.7896833208
2834.0,0.7942523867
