TWC_200/BUCKET_AREA_CALC,TWC_200/BUCKET_AREA_CALC
X,Y
0.0,0.156
200.0,0.156
220.0,0.156
250.0,0.214
1350.0,0.214
1380.0,0.155
1435.0,0.155
1450.0,0.155
1460.0,0.387
1466.0,0.411
1472.0,0.426
1478.0,0.434
1484.0,0.433
1490.0,0.431
1496.0,0.429
1502.0,0.428
1508.0,0.427
1514.0,0.427
1520.0,0.427
1526.0,0.426
1532.0,0.426
1538.0,0.427
1544.0,0.428
1550.0,0.428
1556.0,0.428
1562.0,0.428
1568.0,0.43
1574.0,0.433
1580.0,0.436
1586.0,0.44
1592.0,0.446
1598.0,0.453
1604.0,0.462
1610.0,0.471
1616.0,0.479
1622.0,0.491
1628.0,0.507
1634.0,0.528
1640.0,0.554
1646.0,0.587
1652.0,0.633
1658.0,0.7
1664.0,0.808
1670.0,0.799
1673.0,0.127
1676.0,0.0
1682.0,0.183
1683.0,1.174
1685.0,1.171
1688.0,1.251
1694.0,0.99
1700.0,0.873
1706.0,0.802
1712.0,0.746
1718.0,0.703
1724.0,0.671
1730.0,0.645
1736.0,0.625
1742.0,0.609
1748.0,0.595
1754.0,0.584
1760.0,0.574
1766.0,0.566
1772.0,0.56
1778.0,0.554
1784.0,0.549
1790.0,0.544
1796.0,0.541
1802.0,0.538
1808.0,0.535
1814.0,0.533
1820.0,0.53
1826.0,0.528
1832.0,0.527
1838.0,0.525
1844.0,0.524
1850.0,0.523
1856.0,0.522
1862.0,0.521
1868.0,0.521
1874.0,0.52
1880.0,0.52
1886.0,0.52
1892.0,0.52
1898.0,0.519
1904.0,0.519
1910.0,0.52
1916.0,0.52
1922.0,0.52
1928.0,0.52
1934.0,0.52
1940.0,0.521
1946.0,0.521
1952.0,0.521
1958.0,0.522
1964.0,0.522
1970.0,0.523
1976.0,0.523
1982.0,0.524
1988.0,0.524
1994.0,0.525
2000.0,0.525
2006.0,0.526
2012.0,0.527
2018.0,0.527
2024.0,0.528
2030.0,0.528
2036.0,0.529
2042.0,0.53
2048.0,0.531
2054.0,0.532
2060.0,0.533
2066.0,0.535
2072.0,0.535
2078.0,0.537
2084.0,0.538
2090.0,0.539
2096.0,0.54
2102.0,0.541
2108.0,0.542
2114.0,0.542
2120.0,0.543
2126.0,0.544
2132.0,0.545
2138.0,0.545
2144.0,0.546
2150.0,0.547
2156.0,0.547
2162.0,0.548
2168.0,0.549
2174.0,0.549
2180.0,0.55
2186.0,0.551
2192.0,0.551
2198.0,0.552
2204.0,0.553
2210.0,0.553
2216.0,0.554
2222.0,0.554
2228.0,0.555
2234.0,0.556
2240.0,0.556
2246.0,0.557
2252.0,0.557
2258.0,0.558
2264.0,0.558
2270.0,0.559
2276.0,0.559
2282.0,0.56
2288.0,0.56
2294.0,0.561
2300.0,0.561
2306.0,0.562
2312.0,0.562
2318.0,0.563
2324.0,0.563
2330.0,0.563
2336.0,0.564
2342.0,0.564
2348.0,0.565
2354.0,0.565
2360.0,0.565
2366.0,0.566
2372.0,0.566
2378.0,0.566
2384.0,0.567
2390.0,0.567
2396.0,0.567
2402.0,0.567
2408.0,0.568
2414.0,0.568
2420.0,0.568
2426.0,0.569
2432.0,0.569
2438.0,0.569
2444.0,0.569
2450.0,0.569
2456.0,0.57
2462.0,0.57
2468.0,0.57
2474.0,0.57
2480.0,0.57
2486.0,0.57
2492.0,0.57
2498.0,0.571
2504.0,0.571
2510.0,0.571
2516.0,0.571
2522.0,0.571
2528.0,0.571
2534.0,0.571
2540.0,0.571
2546.0,0.571
2552.0,0.571
2558.0,0.571
2564.0,0.571
2570.0,0.571
2576.0,0.571
2582.0,0.571
2588.0,0.571
2594.0,0.571
2600.0,0.571
2606.0,0.571
2612.0,0.571
2618.0,0.57
2624.0,0.57
2630.0,0.57
2636.0,0.57
2642.0,0.57
2648.0,0.57
2654.0,0.57
2660.0,0.569
2666.0,0.569
2672.0,0.569
2678.0,0.569
2684.0,0.569
2690.0,0.568
2696.0,0.568
2702.0,0.568
2708.0,0.568
2714.0,0.567
2720.0,0.567
2726.0,0.567
2732.0,0.566
2738.0,0.566
2744.0,0.566
2750.0,0.565
2756.0,0.565
2762.0,0.565
2768.0,0.564
2774.0,0.564
2780.0,0.564
2786.0,0.563
2792.0,0.563
2798.0,0.562
2804.0,0.562
2810.0,0.562
2816.0,0.561
2822.0,0.561
2828.0,0.56
2834.0,0.56
2840.0,0.559
2846.0,0.559
2852.0,0.558
2858.0,0.558
2864.0,0.56
2888.0,0.566
2894.0,0.567
2906.0,0.57
2918.0,0.574
2930.0,0.576
2936.0,0.578
2942.0,0.579
2948.0,0.581
2960.0,0.584
2966.0,0.585
2972.0,0.587
2978.0,0.588
2984.0,0.59
2996.0,0.593
3008.0,0.596
3014.0,0.597
3020.0,0.598
3032.0,0.601
3044.0,0.604
3050.0,0.606
3056.0,0.607
3068.0,0.61
3074.0,0.612
3080.0,0.613
3086.0,0.614
3092.0,0.615
3098.0,0.617
3104.0,0.618
3122.0,0.622
