SPSBEAM/ETA,SPSBEAM/ETA
X,Y
0.0,-0.0029493481
6.0,-0.0029450983
12.0,-0.0029323827
18.0,-0.0029113019
24.0,-0.0028820213
30.0,-0.0028447687
36.0,-0.0028056301
42.0,-0.0027704191
48.0,-0.0027390117
54.0,-0.0027112986
60.0,-0.0026871846
66.0,-0.0026665876
72.0,-0.0026494381
78.0,-0.0026356787
84.0,-0.0026252635
90.0,-0.0026181582
96.0,-0.0026143393
102.0,-0.0026136124
200.0,-0.0026136124
1460.0,-0.0026136124
1466.0,-0.0026120606
1472.0,-0.0026074102
1478.0,-0.0025996755
1484.0,-0.0025888807
1490.0,-0.002575059
1496.0,-0.0025578171
1502.0,-0.0025367826
1508.0,-0.0025120376
1514.0,-0.002483678
1520.0,-0.0024518125
1526.0,-0.0024158206
1532.0,-0.0023751335
1538.0,-0.0023299625
1544.0,-0.0022805376
1550.0,-0.002227105
1556.0,-0.0021679093
1562.0,-0.0021013958
1568.0,-0.0020281589
1574.0,-0.0019488308
1580.0,-0.0018640713
1586.0,-0.0017737705
1592.0,-0.0016779457
1598.0,-0.0015774638
1604.0,-0.0014731835
1610.0,-0.0013659421
1616.0,-0.0012548137
1622.0,-0.0011392031
1628.0,-0.0010203807
1634.0,-8.995453E-4
1640.0,-7.778056E-4
1646.0,-6.555966E-4
1652.0,-5.334057E-4
1658.0,-4.122462E-4
1664.0,-2.929955E-4
1670.0,-1.763958E-4
1676.0,-6.5838E-5
1682.0,3.63162E-5
1688.0,1.308858E-4
1694.0,2.185931E-4
1700.0,3.000767E-4
1706.0,3.759034E-4
1712.0,4.46577E-4
1718.0,5.12547E-4
1724.0,5.742152E-4
1730.0,6.319417E-4
1736.0,6.860499E-4
1742.0,7.368311E-4
1748.0,7.845478E-4
1754.0,8.294375E-4
1760.0,8.717153E-4
1766.0,9.115762E-4
1772.0,9.491978E-4
1778.0,9.847414E-4
1784.0,0.0010183545
1790.0,0.0010501717
1796.0,0.0010803162
1802.0,0.0011089008
1808.0,0.0011360292
1814.0,0.0011617966
1820.0,0.0011862906
1826.0,0.001209592
1832.0,0.0012317752
1838.0,0.0012529092
1844.0,0.0012730577
1850.0,0.0012922794
1856.0,0.0013106292
1862.0,0.0013281578
1868.0,0.0013449122
1874.0,0.0013609363
1880.0,0.001376271
1886.0,0.0013909542
1892.0,0.0014050214
1898.0,0.0014185057
1904.0,0.0014314381
1910.0,0.0014438475
1916.0,0.001455761
1922.0,0.001467204
1928.0,0.0014782002
1934.0,0.0014887721
1940.0,0.0014989404
1946.0,0.0015087251
1952.0,0.0015181445
1958.0,0.0015272161
1964.0,0.0015359564
1970.0,0.0015443808
1976.0,0.001552504
1982.0,0.0015603396
1988.0,0.0015679007
1994.0,0.0015751996
2000.0,0.0015822479
2006.0,0.0015890566
2012.0,0.0015956361
2018.0,0.0016019962
2024.0,0.0016081464
2030.0,0.0016140953
2036.0,0.0016198515
2042.0,0.0016254229
2048.0,0.001630817
2054.0,0.0016360411
2060.0,0.0016411021
2066.0,0.0016460062
2072.0,0.0016507599
2078.0,0.001655369
2084.0,0.001659839
2090.0,0.0016641753
2096.0,0.001668383
2102.0,0.001672467
2108.0,0.0016764319
2114.0,0.0016802821
2120.0,0.0016840218
2126.0,0.0016876551
2132.0,0.0016911858
2138.0,0.0016946177
2144.0,0.0016979541
2150.0,0.0017011986
2156.0,0.0017043543
2162.0,0.0017074242
2168.0,0.0017104115
2174.0,0.0017133188
2180.0,0.001716149
2186.0,0.0017189045
2192.0,0.001721588
2198.0,0.0017242018
2204.0,0.0017267482
2210.0,0.0017292293
2216.0,0.0017316474
2222.0,0.0017340045
2228.0,0.0017363025
2234.0,0.0017385432
2240.0,0.0017407286
2246.0,0.0017428602
2252.0,0.0017449399
2258.0,0.0017469692
2264.0,0.0017489496
2270.0,0.0017508827
2276.0,0.0017527698
2282.0,0.0017546124
2288.0,0.0017564118
2294.0,0.0017581693
2300.0,0.0017598861
2306.0,0.0017615633
2312.0,0.0017632022
2318.0,0.0017648039
2324.0,0.0017663694
2330.0,0.0017678997
2336.0,0.0017693959
2342.0,0.001770859
2348.0,0.0017722897
2354.0,0.0017736891
2360.0,0.0017750581
2366.0,0.0017763973
2372.0,0.0017777078
2378.0,0.0017789901
2384.0,0.0017802452
2390.0,0.0017814737
2396.0,0.0017826764
2402.0,0.0017838539
2408.0,0.0017850069
2414.0,0.001786136
2420.0,0.0017872419
2426.0,0.0017883251
2432.0,0.0017893863
2438.0,0.001790426
2444.0,0.0017914448
2450.0,0.0017924431
2456.0,0.0017934216
2462.0,0.0017943807
2468.0,0.0017953208
2474.0,0.0017962425
2480.0,0.0017971463
2486.0,0.0017980324
2492.0,0.0017989015
2498.0,0.0017997539
2504.0,0.0018005899
2510.0,0.0018014101
2516.0,0.0018022147
2522.0,0.0018030042
2528.0,0.0018037789
2534.0,0.0018045391
2540.0,0.0018052852
2546.0,0.0018060176
2552.0,0.0018067365
2558.0,0.0018074422
2564.0,0.0018081351
2570.0,0.0018088154
2576.0,0.0018094834
2582.0,0.0018101395
2588.0,0.0018107838
2594.0,0.0018114167
2600.0,0.0018120383
2606.0,0.0018126491
2612.0,0.001813249
2618.0,0.0018138386
2624.0,0.0018144178
2630.0,0.0018149871
2636.0,0.0018155465
2642.0,0.0018160964
2648.0,0.0018166368
2654.0,0.0018171681
2660.0,0.0018176903
2666.0,0.0018182038
2672.0,0.0018187086
2678.0,0.001819205
2684.0,0.0018196932
2690.0,0.0018201732
2696.0,0.0018206454
2702.0,0.0018211098
2708.0,0.0018215665
2714.0,0.0018220159
2720.0,0.0018224579
2726.0,0.0018228928
2732.0,0.0018233207
2738.0,0.0018237418
2744.0,0.0018241561
2750.0,0.0018245638
2756.0,0.0018249651
2762.0,0.0018253601
2768.0,0.0018257488
2774.0,0.0018261315
2780.0,0.0018265082
2786.0,0.0018268791
2792.0,0.0018272442
2798.0,0.0018276037
2804.0,0.0018279577
2810.0,0.0018283063
2816.0,0.0018286495
2822.0,0.0018289876
2828.0,0.0018293205
2834.0,0.0018296485
2840.0,0.0018299715
2846.0,0.0018302897
2852.0,0.0018306032
2858.0,0.001830912
2864.0,0.0018312161
2888.0,0.0018323827
2894.0,0.0018326624
2906.0,0.0018332082
2930.0,0.001834248
2936.0,0.0018344977
2942.0,0.0018347434
2948.0,0.0018349853
2960.0,0.0018354579
2966.0,0.0018356887
2972.0,0.001835916
2978.0,0.0018361398
2984.0,0.0018363602
2996.0,0.0018367911
3008.0,0.0018372092
3014.0,0.0018374137
3020.0,0.001837615
