TWC_200/FREQUENCY_PROGRAM,TWC_200/FREQUENCY_PROGRAM
X,Y
0.0,1.9991278399472678E8
6.0,1.9991321083678418E8
12.0,1.999144879723727E8
18.0,1.9991660528937125E8
24.0,1.999195461311843E8
30.0,1.9992328758584315E8
36.0,1.9992721840070963E8
42.0,1.999307546806399E8
48.0,1.9993390890716496E8
54.0,1.999366920705492E8
60.0,1.9993911375653163E8
66.0,1.9994118222081968E8
72.0,1.9994290445236427E8
78.0,1.9994428622630167E8
84.0,1.9994533214727563E8
90.0,1.9994604568365407E8
96.0,1.9994642919314605E8
102.0,1.9994650218692067E8
200.0,1.9994650218692067E8
300.0,1.9994650218692067E8
555.0,1.9994650218692067E8
607.0,1.9994650218692067E8
700.0,1.9994650218692067E8
1202.0,1.9994650218692067E8
1287.0,1.9994650218692067E8
1415.0,1.9994650218692067E8
1420.0,1.9994621554429007E8
1440.0,1.9994621554429007E8
1460.0,1.999462856068064E8
1466.0,1.999464441388314E8
1472.0,1.9994691409447035E8
1478.0,1.999476940076034E8
1484.0,1.999487814520493E8
1490.0,1.999501730582551E8
1496.0,1.999519083456716E8
1502.0,1.9995402472880623E8
1508.0,1.9995651391735604E8
1514.0,1.9995936625424424E8
1520.0,1.9996257079762208E8
1526.0,1.9996618987227073E8
1532.0,1.9997028057714564E8
1538.0,1.999748216564727E8
1544.0,1.9997978995977607E8
1550.0,1.9998516069421843E8
1556.0,1.9999111018978733E8
1562.0,1.9999779454531673E8
1568.0,2.0000515398031005E8
1574.0,2.000131248655554E8
1580.0,2.0002164086211818E8
1586.0,2.000307129118163E8
1592.0,2.0004033917594486E8
1598.0,2.0005043251101798E8
1604.0,2.0006090659134692E8
1610.0,2.0007167725819594E8
1616.0,2.0008283744356033E8
1622.0,2.000944468176261E8
1628.0,2.0010637774588963E8
1634.0,2.0011850982448113E8
1640.0,2.0013073169311404E8
1646.0,2.0014299969441006E8
1652.0,2.0015526488508892E8
1658.0,2.001674255800322E8
1664.0,2.001793937328662E8
1670.0,2.0019109491351324E8
1676.0,2.002021889334212E8
1682.0,2.002124389437206E8
1688.0,2.002219272710145E8
1694.0,2.0023072650136644E8
1700.0,2.002389008269914E8
1706.0,2.0024650718103647E8
1712.0,2.0025359619767267E8
1718.0,2.0026021302753264E8
1724.0,2.0026639803284296E8
1730.0,2.0027218738208508E8
1736.0,2.002776135604217E8
1742.0,2.002827058092439E8
1748.0,2.0028749050584093E8
1754.0,2.002919914923315E8
1760.0,2.0029623036145145E8
1766.0,2.0030022670552447E8
1772.0,2.003039983339433E8
1778.0,2.0030756146362096E8
1784.0,2.0031093088617465E8
1790.0,2.0031412011503735E8
1796.0,2.0031714151519528E8
1802.0,2.003200064178545E8
1808.0,2.003227252220033E8
1814.0,2.0032530748455158E8
1820.0,2.0032776200048804E8
1826.0,2.0033009687429672E8
1832.0,2.003323195837073E8
1838.0,2.0033443703669846E8
1844.0,2.0033645562256196E8
1850.0,2.003383812577184E8
1856.0,2.0034021942689562E8
1857.0,2.0034051206151557E8
1862.0,2.0034197624607345E8
1868.0,2.0034365565192536E8
1874.0,2.0034526183779326E8
1880.0,2.0034679889587495E8
1886.0,2.0034827063944468E8
1892.0,2.003496806252389E8
