SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.7074285714
42.0,13.7597142857
48.0,13.8068571429
54.0,13.8488571429
60.0,13.8857142857
66.0,13.9174285714
72.0,13.944
78.0,13.9654285714
84.0,13.9817142857
90.0,13.9928571429
96.0,13.9988571429
102.0,14.0
200.0,14.0
1460.0,14.0
1466.0,14.0024407706
1472.0,14.0097630824
1478.0,14.0219669354
1484.0,14.0390523296
1490.0,14.061019265
1496.0,14.0885662004
1502.0,14.1223915946
1508.0,14.1624954476
1514.0,14.2088777594
1520.0,14.26153853
1526.0,14.32172453
1532.0,14.39068253
1538.0,14.46841253
1544.0,14.55491453
1550.0,14.65018853
1556.0,14.75794253
1562.0,14.88188453
1568.0,15.02201453
1574.0,15.17833253
1580.0,15.35083853
1586.0,15.54121853
1592.0,15.75115853
1598.0,15.98065853
1604.0,16.22971853
1610.0,16.49833853
1616.0,16.79119853
1622.0,17.11297853
1628.0,17.46367853
1634.0,17.84329853
1640.0,18.25183853
1646.0,18.69142853
1652.0,19.16419853
1658.0,19.67014853
1664.0,20.20927853
1670.0,20.78158853
1676.0,21.3715904628
1682.0,21.9637962611
1688.0,22.558205925
1694.0,23.1548194544
1700.0,23.7536368493
1706.0,24.3546581098
1712.0,24.9578832359
1718.0,25.5633122275
1724.0,26.1709450846
1730.0,26.7807818073
1736.0,27.3928223955
1742.0,28.0070668493
1748.0,28.6235151687
1754.0,29.2421673535
1760.0,29.8630234039
1766.0,30.4860833199
1772.0,31.1113471014
1778.0,31.7388147485
1784.0,32.3684862611
1790.0,33.0003616392
1796.0,33.6344408829
1802.0,34.2707239922
1808.0,34.909210967
1814.0,35.5499018073
1820.0,36.1927965132
1826.0,36.8378950846
1832.0,37.4851975216
1838.0,38.1347038241
1844.0,38.7864139922
1850.0,39.4403280258
1856.0,40.096445925
1862.0,40.7547676897
1868.0,41.4152933199
1874.0,42.0780228157
1880.0,42.7429561771
1886.0,43.4100934039
1892.0,44.0794344964
1898.0,44.7509794544
1904.0,45.4247282779
1910.0,46.100680967
1916.0,46.7788375216
1922.0,47.4591979418
1928.0,48.1417622275
1934.0,48.8265303787
1940.0,49.5135023955
1946.0,50.2026782779
1952.0,50.8940580258
1958.0,51.5876416392
1964.0,52.2834291182
1970.0,52.9814204628
1976.0,53.6816156729
1982.0,54.3840147485
1988.0,55.0886176897
1994.0,55.7954244964
2000.0,56.5044351687
2006.0,57.2156497065
2012.0,57.9290681098
2018.0,58.6446903787
2024.0,59.3625165132
2030.0,60.0825465132
2036.0,60.8047803787
2042.0,61.5292181098
2048.0,62.2558597065
2054.0,62.9847051687
2060.0,63.7157544964
2066.0,64.4490076897
2072.0,65.1844647485
2078.0,65.9221256729
2084.0,66.6619904628
2090.0,67.4040591182
2096.0,68.1483316392
2102.0,68.8948080258
2108.0,69.6434882779
2114.0,70.3943723955
2120.0,71.1474603787
2126.0,71.9027522275
2132.0,72.6602479418
2138.0,73.4199475216
2144.0,74.181850967
2150.0,74.9459582779
2156.0,75.7122694544
2162.0,76.4807844964
2168.0,77.2515034039
2174.0,78.0244261771
2180.0,78.7995528157
